,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range
0,POINT (34.288866 0.499269),1,356.0,61.73469,11.975,84.330986,1649.0,43.164696,22.533333,250.0,223.0,22.65,22.916666,22.145834,51.0,631.0,15.5,269.0,21.35,29.7,14.200001
1,POINT (36.801239 -1.261967),1,86.0,122.863556,11.3,72.90323,1043.0,80.10311,20.283333,242.0,73.0,17.766666,20.7,19.3,22.0,528.0,12.3,384.0,17.583334,27.8,15.499999
2,POINT (34.9299407 0.9187688),1,432.0,86.4274,13.183333,79.898994,1203.0,50.888165,18.916666,170.0,107.0,19.55,19.966667,18.883333,25.0,452.0,11.5,278.0,17.85,28.0,16.5
3,POINT (34.138156 0.504638),1,320.0,59.460968,11.9,84.39716,1591.0,43.533962,22.9,244.0,221.0,22.983334,23.25,22.508333,54.0,609.0,15.9,265.0,21.75,30.0,14.1
4,POINT (37.6630762 -0.0869941),1,59.0,95.72292,11.05,77.27273,1691.0,98.95985,19.566666,392.0,59.0,17.883333,20.266666,19.258333,15.0,822.0,12.7,550.0,17.883333,27.0,14.3
5,POINT (37.6090933 0.4831488),1,14.0,73.612144,13.575001,81.77711,555.0,100.57668,23.316666,150.0,14.0,22.95,24.416666,23.6125,4.0,268.0,15.9,207.0,22.95,32.5,16.6
6,POINT (34.261607 0.551105),1,354.0,64.131714,11.666667,83.93285,1676.0,43.360516,22.2,254.0,229.0,22.366667,22.65,21.808334,57.0,645.0,15.3,279.0,21.016666,29.2,13.900001
7,POINT (34.105675 0.460818),1,342.0,57.424206,11.858334,85.31175,1766.0,44.906296,22.466667,276.0,243.0,22.483334,22.75,22.054167,63.0,679.0,15.5,291.0,21.316666,29.4,13.9
8,POINT (37.078103 -1.5683764),1,17.0,132.173,11.983334,71.756485,558.0,87.84272,20.183334,130.0,14.0,17.616667,20.65,19.216667,3.0,264.0,11.4,225.0,17.316666,28.1,16.7
9,POINT (36.0704836 -0.2845506),1,255.0,68.53858,14.441667,82.05493,925.0,47.63934,17.716667,160.0,113.0,17.733334,18.333334,17.429167,27.0,353.0,9.2,261.0,16.633333,26.8,17.599998
10,POINT (39.896317 -3.435616),1,185.0,122.27638,7.25,65.31532,896.0,73.85919,25.383333,226.0,68.0,26.466667,26.733334,25.283333,10.0,433.0,20.2,149.0,23.7,31.3,11.099998
11,POINT (34.175648 0.554142),1,328.0,60.382298,11.791667,83.62884,1586.0,43.338318,22.883333,241.0,217.0,22.983334,23.25,22.4875,53.0,610.0,15.9,263.0,21.716667,30.0,14.1
12,POINT (34.350563 0.697794),1,341.0,68.79924,11.866667,82.4074,1502.0,41.974377,21.8,229.0,199.0,22.033333,22.316668,21.383333,54.0,571.0,14.8,253.0,20.583332,29.2,14.400001
13,POINT (39.789663 -3.650488),1,228.0,128.95265,8.0,67.796616,1123.0,72.97516,25.9,276.0,94.0,27.1,27.333332,25.816666,17.0,542.0,20.3,231.0,24.15,32.1,11.799999
14,POINT (34.193631 0.407613),1,339.0,59.063087,11.875,84.82143,1668.0,42.657543,22.65,257.0,231.0,22.733334,23.0,22.270834,54.0,633.0,15.7,280.0,21.516666,29.7,14.000001
15,POINT (34.718649 0.791408),1,462.0,70.75755,12.575,82.730255,1476.0,45.675488,19.516666,215.0,147.0,20.016666,20.366667,19.495832,35.0,560.0,12.5,355.0,18.616667,27.7,15.200001
16,POINT (34.353459 0.375406),1,414.0,65.06408,12.133333,84.259254,1810.0,42.527603,21.95,281.0,251.0,22.616667,22.883333,22.083334,55.0,694.0,15.3,300.0,21.233334,29.7,14.400001
17,POINT (34.386351 0.565253),1,351.0,65.93585,12.208333,83.04989,1591.0,42.486877,21.916666,241.0,217.0,22.616667,22.883333,22.029167,53.0,609.0,15.2,266.0,21.2,29.9,14.7
18,POINT (34.7866426 1.0968928),1,416.0,91.885765,12.458333,79.35244,1191.0,48.57265,16.183332,160.0,110.0,18.05,18.433334,17.245834,24.0,430.0,10.3,145.0,16.133333,26.0,15.7
19,POINT (34.335819 0.552766),1,353.0,64.54238,12.141666,83.735634,1626.0,43.61562,22.433332,246.0,221.0,22.566668,22.866667,22.020834,54.0,626.0,15.3,269.0,21.216667,29.8,14.499999
20,POINT (34.572403 0.592516),1,402.0,68.37259,12.391666,83.16555,1651.0,42.526894,20.95,249.0,206.0,21.616667,21.9,21.045834,56.0,632.0,14.1,270.0,20.183334,29.0,14.9
21,POINT (36.8510154 -1.210481),1,72.0,120.82731,11.416667,73.18376,885.0,76.29817,20.333334,190.0,59.0,17.833334,20.716667,19.341667,18.0,427.0,12.3,319.0,17.65,27.9,15.599999
22,POINT (34.130802 0.275283),1,296.0,61.459526,11.6,83.45323,1615.0,43.875526,22.3,266.0,238.0,22.4,22.666666,21.9,54.0,621.0,15.3,297.0,21.116667,29.2,13.900001
23,POINT (34.204908 0.496708),1,341.0,60.80272,11.783333,84.16666,1656.0,44.028862,22.683334,254.0,224.0,22.766666,23.05,22.283333,52.0,637.0,15.7,270.0,21.5,29.7,14.000001
24,POINT (37.2611855 -1.5315163),1,12.0,134.55313,11.316667,71.174,693.0,93.452644,19.583334,163.0,11.0,17.466667,20.5,19.1,2.0,299.0,11.6,274.0,17.133333,27.5,15.9
25,POINT (34.619328 0.53956),1,427.0,69.16575,12.425,83.38927,1679.0,41.369274,20.8,245.0,210.0,21.516666,21.783333,20.929167,56.0,639.0,13.9,271.0,20.05,28.8,14.9
26,POINT (35.4640089 -0.7756736),1,231.0,74.47797,12.133333,80.888885,1219.0,41.54859,16.55,205.0,227.0,15.066667,16.883333,15.983334,64.0,487.0,9.0,267.0,15.033334,24.0,15.0
27,POINT (34.526797 0.53375),1,386.0,69.26425,12.208334,83.04989,1652.0,42.148212,21.666666,248.0,213.0,21.816666,22.083334,21.229166,55.0,630.0,14.3,275.0,20.333334,29.0,14.7
28,POINT (40.006094 -3.276447),1,189.0,118.34721,7.183334,65.90214,952.0,76.08527,24.833334,237.0,72.0,25.9,26.15,24.733334,9.0,485.0,19.8,194.0,23.2,30.7,10.900002
29,POINT (40.122393 -3.129576),1,267.0,128.87332,7.9,65.833336,1095.0,93.97491,24.983334,318.0,71.0,26.316668,26.5,24.991667,8.0,635.0,19.7,249.0,23.266666,31.7,12.0
30,POINT (36.7365136 -1.2652821),1,83.0,130.50818,11.625,72.20497,1001.0,79.719376,19.4,237.0,74.0,16.816666,19.883333,18.4625,22.0,503.0,11.2,377.0,16.616667,27.3,16.099998
31,POINT (35.4120332 -0.794748),1,253.0,74.69128,12.55,80.448715,1301.0,42.10873,16.716667,223.0,247.0,16.833334,17.116667,16.183332,71.0,521.0,8.9,277.0,15.25,24.5,15.6
32,POINT (34.6187514 0.6014712),1,448.0,68.02823,12.441667,82.94444,1702.0,43.19301,20.449999,255.0,201.0,21.05,21.333334,20.5125,53.0,657.0,13.5,266.0,19.65,28.5,15.0
33,POINT (34.134939 0.412595),1,329.0,59.58663,11.841666,84.583336,1681.0,42.241917,22.55,259.0,237.0,22.583334,22.866667,22.1375,59.0,630.0,15.5,287.0,21.366667,29.5,14.0
34,POINT (39.766704 -3.900834),1,203.0,134.91301,7.7166667,65.954414,1065.0,71.15571,26.033333,255.0,98.0,27.433334,27.55,26.033333,16.0,506.0,20.5,229.0,24.283333,32.2,11.700001
35,POINT (34.28713 0.645349),1,320.0,64.41461,12.116667,83.563225,1463.0,41.682453,22.883333,220.0,202.0,23.033333,23.3,22.458334,53.0,558.0,15.8,251.0,21.666666,30.3,14.499999
36,POINT (34.172837 0.357263),1,337.0,57.872635,11.766666,84.65228,1699.0,42.511433,22.5,269.0,240.0,22.55,22.816666,22.108334,56.0,642.0,15.5,292.0,21.366667,29.4,13.9
37,POINT (34.36764 0.602632),1,340.0,64.71382,12.166667,83.33333,1546.0,43.904076,22.633333,242.0,207.0,22.8,23.083334,22.233334,51.0,600.0,15.5,257.0,21.433334,30.1,14.6
38,POINT (39.978629 -3.173256),1,228.0,124.32468,7.858333,66.59605,953.0,73.10675,25.1,231.0,77.0,26.266666,26.516666,25.029167,10.0,471.0,19.6,198.0,23.383333,31.4,11.799999
39,POINT (36.379493 0.277717),1,258.0,64.220276,14.766666,82.03703,787.0,44.4859,15.766666,114.0,102.0,16.5,17.283333,16.433332,27.0,268.0,7.7,241.0,15.65,25.7,18.0
40,POINT (34.235507 0.465357),1,360.0,61.551884,11.916667,84.515366,1734.0,44.099842,22.516666,266.0,236.0,22.616667,22.9,22.125,55.0,671.0,15.5,285.0,21.333334,29.6,14.1
41,POINT (34.220922 0.539806),1,332.0,65.855385,11.641666,83.15476,1600.0,40.84417,22.083334,233.0,227.0,22.266666,22.55,21.6875,57.0,598.0,15.1,273.0,20.866667,29.1,14.0
42,POINT (40.047128 -3.266117),1,260.0,123.16146,7.5249996,66.592926,1020.0,84.03892,24.866667,276.0,74.0,26.083334,26.283333,24.8125,9.0,549.0,19.7,213.0,23.183334,31.0,11.299999
43,POINT (35.383911 1.563338),1,329.0,66.10368,12.3,81.456955,878.0,53.971897,18.65,134.0,78.0,19.816666,20.316668,19.416666,17.0,329.0,12.3,215.0,18.65,27.4,15.099999
44,POINT (36.8007417 -1.14803),1,102.0,126.71475,11.658333,72.412,1125.0,80.251625,19.133333,271.0,90.0,16.55,19.533333,18.145834,28.0,557.0,10.9,417.0,16.333334,27.0,16.1
45,POINT (34.330169 0.629064),1,339.0,64.871666,12.0,83.33333,1579.0,44.49213,22.733334,244.0,213.0,22.883333,23.166666,22.308332,55.0,620.0,15.7,266.0,21.516666,30.1,14.400001
46,POINT (34.9694373 0.9027378),1,439.0,87.77122,13.25,79.819275,1186.0,52.231667,18.8,167.0,104.0,19.416666,19.866667,18.758333,24.0,444.0,11.4,270.0,17.7,28.0,16.6
47,POINT (34.266297 0.422932),1,364.0,62.539383,11.991667,84.448364,1718.0,43.28541,22.65,260.0,235.0,22.75,23.033333,22.254168,53.0,661.0,15.6,284.0,21.45,29.8,14.199999
48,POINT (34.8711783 0.8730617),1,435.0,87.78417,13.083333,79.77642,1270.0,50.267647,18.766666,184.0,114.0,19.433332,19.816668,18.733334,26.0,477.0,11.4,290.0,17.666666,27.8,16.4
49,POINT (40.011545 -3.225757),1,255.0,120.437164,7.2916665,66.28788,1010.0,76.7195,24.733334,251.0,79.0,25.833334,26.066666,24.6375,10.0,520.0,19.6,217.0,23.05,30.6,11.0
50,POINT (39.720753 -3.903322),1,224.0,141.10161,7.958333,65.23224,1151.0,71.56123,25.933334,272.0,104.0,27.383333,27.533333,25.9125,17.0,552.0,20.2,258.0,24.083334,32.4,12.200001
51,POINT (34.7535775 0.2846143),1,555.0,86.22008,12.241667,81.07063,2022.0,38.84408,19.616667,283.0,267.0,20.883333,21.15,20.004168,76.0,734.0,12.9,352.0,18.95,28.0,15.1
52,POINT (34.352027 0.452256),1,376.0,64.14206,12.058333,83.73843,1685.0,43.15913,22.016666,265.0,231.0,22.7,22.966667,22.1625,52.0,648.0,15.4,275.0,21.333334,29.8,14.4
53,POINT (34.26213 0.357372),1,395.0,62.43027,11.941667,84.096245,1798.0,41.090225,22.3,264.0,253.0,22.4,22.666666,21.895834,55.0,676.0,15.2,302.0,21.083332,29.4,14.2
54,POINT (36.272508 0.1490446),1,342.0,72.57702,14.633333,82.20973,1047.0,50.583828,17.633333,162.0,116.0,17.666666,18.333334,17.358334,28.0,387.0,8.9,252.0,16.45,26.7,17.800001
55,POINT (35.0279743 1.0062866),1,390.0,96.47087,13.341667,79.41468,1159.0,53.478172,18.283333,170.0,101.0,19.116667,19.516666,18.304167,23.0,448.0,10.8,141.0,17.133333,27.6,16.8
56,POINT (35.745971 0.075945),1,338.0,61.459526,13.466667,83.6439,1098.0,44.661034,17.7,164.0,141.0,17.65,17.833334,17.2,32.0,382.0,9.7,289.0,16.383333,25.8,16.099998
57,POINT (35.3971826 -0.8499149),1,179.0,76.972786,12.758333,80.74894,1158.0,47.1298,17.75,210.0,172.0,16.233334,18.116667,17.170834,46.0,481.0,9.7,288.0,16.2,25.5,15.8
58,POINT (34.8487923 1.083059),1,375.0,96.66796,13.583333,79.4347,1081.0,50.52589,18.416666,145.0,90.0,19.25,19.65,18.408333,19.0,391.0,10.9,122.0,17.25,28.0,17.1
59,POINT (34.769073 0.742881),1,481.0,71.18584,12.75,82.792206,1484.0,46.17364,19.783333,219.0,149.0,20.266666,20.65,19.758333,37.0,563.0,12.6,351.0,18.883333,28.0,15.4
60,POINT (40.00566 -3.332285),1,229.0,117.19173,7.008333,64.891975,894.0,78.42683,25.083334,231.0,72.0,26.116667,26.383333,24.995832,10.0,463.0,20.1,179.0,23.483334,30.9,10.799999
61,POINT (40.149244 -2.854301),1,229.0,128.52898,7.983333,67.08682,903.0,82.66765,26.133333,240.0,63.0,27.4,27.616667,26.133333,7.0,485.0,20.8,184.0,24.45,32.7,11.900002
62,POINT (39.922783 -3.354173),1,180.0,119.939995,7.3166666,65.91592,882.0,73.558784,25.25,222.0,67.0,26.316668,26.6,25.158333,10.0,424.0,20.1,148.0,23.616667,31.2,11.1
63,POINT (35.0565393 0.9658551),1,392.0,94.2223,13.275,79.01785,1083.0,52.997944,17.033333,159.0,94.0,18.933334,19.333334,18.1625,21.0,409.0,10.7,127.0,17.016666,27.5,16.8
64,POINT (37.0088383 -0.460745),1,105.0,99.15552,12.066667,74.485596,1037.0,71.430214,18.6,200.0,105.0,16.3,18.75,17.7,33.0,455.0,10.3,314.0,16.3,26.5,16.2
65,POINT (36.8757767 -1.1768867),1,71.0,118.7139,11.741667,73.84696,867.0,75.74276,20.65,185.0,56.0,18.183334,20.983334,19.645834,18.0,416.0,12.4,316.0,17.966667,28.3,15.9
66,POINT (34.8515518 0.4488162),1,603.0,74.227066,12.425,82.833336,1838.0,44.844128,19.65,252.0,200.0,20.25,20.583334,19.7125,53.0,685.0,12.6,452.0,18.75,27.6,15.0
67,POINT (34.8084243 0.7836838),1,475.0,73.77279,12.766666,81.83761,1390.0,47.716835,19.366667,201.0,135.0,19.866667,20.266666,19.333334,32.0,519.0,12.2,318.0,18.433332,27.8,15.599999
68,POINT (39.926188 -3.201484),1,196.0,120.462326,7.575,66.447365,925.0,68.66672,24.783333,214.0,90.0,25.9,26.15,24.729166,13.0,436.0,19.5,204.0,23.15,30.9,11.4
69,POINT (34.228482 0.381902),1,363.0,59.395615,11.891666,84.33806,1736.0,42.199337,22.55,265.0,241.0,22.633333,22.9,22.1625,55.0,657.0,15.5,290.0,21.4,29.6,14.1
70,POINT (34.308392 0.684313),1,324.0,67.60373,11.925,82.8125,1476.0,42.640144,22.466667,228.0,199.0,22.7,22.966667,22.054167,53.0,567.0,15.5,250.0,21.25,29.9,14.4
71,POINT (35.9860467 0.4708033),1,218.0,64.85854,15.058333,86.54214,663.0,41.01255,25.183334,87.0,91.0,24.566668,25.300001,24.454166,24.0,223.0,16.0,160.0,23.7,33.4,17.400002
72,POINT (40.093899 -3.214996),1,291.0,126.34955,7.4916663,65.71637,1054.0,91.25566,24.616667,301.0,61.0,25.966667,26.1,24.6375,7.0,599.0,19.5,212.0,22.933332,30.9,11.4
73,POINT (35.7 0.7),1,291.0,67.008575,13.866667,84.55285,794.0,51.570156,22.583334,113.0,81.0,23.183332,23.866667,22.958334,23.0,295.0,15.0,186.0,22.183334,31.4,16.4
74,POINT (34.78389669 -0.08750075),1,260.0,73.231674,12.7,84.105965,1349.0,38.81951,23.233334,213.0,248.0,23.766666,23.966667,23.041666,63.0,534.0,15.8,304.0,22.1,30.9,15.099999
75,POINT (34.3011872 0.18357708),1,365.0,62.5757,11.758333,83.98809,1694.0,42.591034,22.35,259.0,245.0,22.55,22.783333,22.020834,52.0,652.0,15.4,281.0,21.2,29.4,14.0
76,POINT (35.470147 0.791689),1,322.0,71.58778,12.758333,82.84632,1061.0,47.261803,16.516666,163.0,124.0,16.683334,17.266666,16.345833,26.0,384.0,9.2,277.0,15.433333,24.6,15.400001
77,POINT (34.712431 0.614218),1,460.0,68.78272,12.65,83.77483,1660.0,44.175827,20.666666,254.0,192.0,21.216667,21.533333,20.691668,52.0,647.0,13.6,440.0,19.833332,28.7,15.1
78,POINT (39.867073 -3.581976),1,194.0,127.73967,7.9,66.38656,982.0,74.50104,26.05,245.0,80.0,27.266666,27.516666,25.991667,14.0,490.0,20.6,195.0,24.366667,32.5,11.9
79,POINT (34.20655 0.582841),1,331.0,62.9574,11.8,83.68794,1566.0,42.401833,22.933334,235.0,215.0,23.016666,23.3,22.5,53.0,598.0,15.9,262.0,21.7,30.0,14.1
80,POINT (35.4120133 0.7948652),1,328.0,77.46334,13.241667,82.760414,975.0,46.626575,16.85,133.0,111.0,17.083334,17.666666,16.6875,23.0,335.0,9.4,235.0,15.7,25.4,16.0
81,POINT (34.205855 0.306227),1,364.0,63.365227,11.766666,83.45154,1790.0,42.550995,22.183332,283.0,256.0,22.266666,22.55,21.766666,57.0,684.0,15.1,312.0,20.95,29.2,14.1
82,POINT (39.785375 -3.28971),1,161.0,123.77583,8.183332,68.19444,918.0,58.81303,24.833334,186.0,107.0,26.05,26.25,24.825,17.0,373.0,19.2,200.0,23.233334,31.2,12.0
83,POINT (35.2838259 -0.8754993),1,185.0,76.31673,12.666667,81.72043,1173.0,42.892056,18.583334,199.0,179.0,17.083334,18.95,18.016666,44.0,463.0,10.6,301.0,17.033333,26.1,15.5
84,POINT (35.332891 0.376299),1,438.0,88.063126,12.625,80.41401,1137.0,50.75004,15.833333,176.0,125.0,17.483334,18.05,16.9625,31.0,438.0,9.9,265.0,15.833333,25.6,15.700001
85,POINT (34.456389 0.510477),1,385.0,65.93586,12.141666,83.1621,1651.0,41.538124,21.516666,251.0,221.0,22.216667,22.5,21.645834,54.0,632.0,14.8,273.0,20.816668,29.4,14.599999
86,POINT (34.350195 0.213035),1,407.0,64.871666,11.933333,84.03756,1805.0,41.890984,22.266666,270.0,257.0,22.45,22.7,21.908333,55.0,691.0,15.2,301.0,21.05,29.4,14.2
87,POINT (34.404323 0.752063),1,350.0,69.57664,12.183333,82.31982,1457.0,41.43169,21.45,222.0,188.0,22.216667,22.5,21.55,51.0,551.0,14.8,240.0,20.733334,29.6,14.8
88,POINT (35.4083459 -0.9460694),1,147.0,80.00355,13.091667,81.822914,1004.0,43.963593,18.666666,169.0,142.0,17.066666,19.0,18.0625,36.0,391.0,10.4,281.0,17.0,26.4,16.0
89,POINT (37.0999733 -1.50781),1,18.0,130.39204,11.941667,72.37373,589.0,89.567276,20.283333,138.0,15.0,17.75,20.75,19.320833,4.0,272.0,11.7,237.0,17.45,28.2,16.5
90,POINT (34.122071 0.208277),1,239.0,58.31439,11.858334,84.101654,1401.0,44.89338,22.616667,236.0,224.0,22.733334,22.983334,22.2625,51.0,553.0,15.5,279.0,21.516666,29.6,14.1
91,POINT (34.150935 0.450892),1,340.0,59.561203,11.908333,84.45626,1704.0,43.63669,22.583334,262.0,234.0,22.633333,22.9,22.179167,57.0,650.0,15.5,283.0,21.4,29.6,14.1
92,POINT (34.8284382 1.1295951),1,378.0,95.38101,13.425,78.9706,1080.0,50.49513,17.15,147.0,90.0,19.066666,19.483334,18.245832,20.0,391.0,10.8,121.0,17.1,27.8,17.0
93,POINT (34.415491 0.602451),1,357.0,66.3025,12.258333,83.39003,1614.0,43.585625,22.35,252.0,217.0,22.533333,22.816666,21.9375,56.0,627.0,15.1,272.0,21.116667,29.8,14.699999
94,POINT (35.06756 -0.7095333333333333),1,327.0,82.158394,12.383333,80.411255,1471.0,29.470333,18.95,210.0,286.0,19.216667,19.55,18.45,77.0,517.0,11.3,325.0,17.483334,26.7,15.400001
95,POINT (38.569486 -0.384357),1,0.0,116.33531,10.275,73.39285,481.0,133.0427,24.966667,175.0,0.0,22.9,25.783333,24.504168,0.0,299.0,17.8,153.0,22.9,31.8,14.0
96,POINT (34.9338462 0.8261664),1,461.0,83.661476,12.966667,81.04167,1240.0,51.417763,17.75,178.0,112.0,19.4,19.833334,18.791666,26.0,461.0,11.6,276.0,17.75,27.6,16.0
97,POINT (34.530511 0.592816),1,390.0,68.351814,12.283334,82.9955,1654.0,42.203354,21.533333,246.0,211.0,21.666666,21.95,21.091667,57.0,631.0,14.2,276.0,20.233334,29.0,14.8
98,POINT (34.23226 0.246346),1,360.0,60.9334,11.683333,83.452385,1717.0,41.186268,22.25,266.0,249.0,22.4,22.65,21.891666,53.0,648.0,15.3,297.0,21.1,29.3,13.999999
99,POINT (35.044426 1.942783),1,264.0,63.633648,12.4,83.78379,722.0,53.222424,21.0,109.0,65.0,21.966667,22.366667,21.541666,14.0,274.0,14.6,169.0,20.733334,29.4,14.799999
100,POINT (34.663567 0.724692),1,440.0,68.80335,12.608333,82.949554,1544.0,43.66618,20.383333,233.0,170.0,20.933334,21.25,20.395834,44.0,593.0,13.4,228.0,19.55,28.6,15.200001
101,POINT (37.068166 -0.248928),1,80.0,68.024055,13.583333,78.97287,945.0,64.41003,16.616667,170.0,80.0,15.066667,16.616667,15.849999,23.0,369.0,7.6,369.0,15.066667,24.8,17.199999
102,POINT (38.569491 -0.448273),1,0.0,116.21557,10.066667,73.479324,503.0,133.98825,24.7,185.0,0.0,22.633333,25.516666,24.233334,0.0,313.0,17.7,161.0,22.633333,31.4,13.699999
103,POINT (36.8890826 -1.2927264),1,63.0,114.80137,12.058333,74.89648,796.0,73.60469,20.866667,169.0,49.0,18.5,21.283333,19.929167,15.0,371.0,12.6,291.0,18.366667,28.7,16.1
104,POINT (37.62923 -0.3609017),1,79.0,95.40484,10.691667,78.04136,1475.0,94.91608,20.233334,344.0,79.0,18.1,20.416666,19.404167,20.0,659.0,13.2,508.0,18.1,26.9,13.7
105,POINT (36.09 -0.2),1,277.0,67.87216,14.275,82.04023,922.0,45.857876,17.583334,143.0,105.0,17.616667,18.216667,17.304167,24.0,338.0,9.2,238.0,16.55,26.6,17.400002
106,POINT (38.00522 -1.370085),1,13.0,126.74839,10.383333,71.6092,842.0,110.81336,22.016666,250.0,13.0,19.65,22.816668,21.483334,3.0,448.0,14.6,295.0,19.65,29.1,14.5
107,POINT (34.758714 0.611434),1,503.0,69.39676,12.599999,83.44371,1648.0,44.56878,20.266666,248.0,182.0,20.783333,21.133333,20.275,48.0,637.0,13.2,413.0,19.4,28.3,15.099999
108,POINT (36.2218897 0.0740275),1,362.0,77.46946,14.483334,81.82674,1057.0,52.093052,17.35,161.0,115.0,17.933332,18.183334,17.116667,26.0,377.0,8.9,250.0,16.199999,26.6,17.7
109,POINT (35.6917062 -0.4105983),1,433.0,74.16581,12.508333,81.753815,1214.0,45.43047,12.133333,185.0,146.0,13.516666,13.983334,13.0625,36.0,433.0,6.2,279.0,12.133333,21.5,15.3
110,POINT (35.3539973 -0.83427),1,178.0,75.85373,12.666667,80.679405,1178.0,46.875885,17.983334,213.0,173.0,16.5,18.35,17.408333,45.0,485.0,10.0,296.0,16.466667,25.7,15.700001
111,POINT (34.869219 0.7908147),1,478.0,78.34946,12.9,81.64556,1338.0,49.75685,19.166666,189.0,126.0,19.683334,20.1,19.125,30.0,500.0,11.9,303.0,18.15,27.7,15.800001
112,POINT (34.120941 0.354647),1,290.0,59.02459,11.708333,84.842995,1535.0,42.12642,22.75,240.0,224.0,22.8,23.066668,22.345833,55.0,578.0,15.8,273.0,21.583334,29.6,13.8
113,POINT (37.755668 0.055943),1,32.0,95.03587,11.633333,78.07606,1289.0,101.22265,21.483334,322.0,32.0,19.883333,22.2,21.2,10.0,648.0,14.3,425.0,19.883333,29.2,14.900001
114,POINT (34.71385447 0.71728245),1,469.0,68.168686,12.533333,83.002205,1548.0,44.90981,19.883333,230.0,162.0,20.35,20.716667,19.866667,40.0,592.0,12.9,382.0,19.016666,28.0,15.1
115,POINT (37.6343055 -1.8444747),1,10.0,136.57054,10.933333,70.08547,757.0,100.56457,21.983334,200.0,8.0,19.8,22.95,21.483334,1.0,367.0,14.0,285.0,19.5,29.6,15.6
116,POINT (34.8147082 0.07726249),1,486.0,70.29564,11.791666,81.321846,1987.0,36.33537,19.966667,286.0,303.0,20.3,20.516666,19.6625,84.0,723.0,12.8,362.0,18.766666,27.3,14.499999
117,POINT (37.5872072 -1.8708834),1,11.0,139.07907,10.674999,69.77124,760.0,99.150856,21.933332,196.0,8.0,19.683332,22.883333,21.404167,1.0,361.0,14.1,292.0,19.383333,29.4,15.299999
118,POINT (34.64395 -0.3880489),1,235.0,68.27417,12.583334,83.333336,1127.0,44.361984,22.9,186.0,193.0,23.233334,23.466667,22.625,41.0,464.0,15.4,218.0,21.716667,30.5,15.1
119,POINT (34.36188958 0.1411326),1,366.0,65.57438,11.883333,83.100235,1684.0,41.35406,22.366667,257.0,246.0,22.6,22.85,22.05,55.0,645.0,15.3,284.0,21.183334,29.6,14.3
120,POINT (36.8757767 1.176886),1,55.0,75.19167,12.733334,81.62393,673.0,77.6589,20.783333,156.0,55.0,18.916666,20.783333,19.708334,14.0,330.0,11.9,330.0,18.916666,27.5,15.6
121,POINT (36.2313166 0.1184169),1,329.0,71.39306,14.783334,82.588455,1040.0,47.555195,18.383333,159.0,119.0,18.35,19.033333,18.066668,28.0,375.0,9.6,257.0,17.2,27.5,17.9
122,POINT (34.9971321 0.8166174),1,470.0,81.55102,13.058333,81.10766,1220.0,53.53895,17.883333,183.0,109.0,19.5,19.916666,18.9125,26.0,470.0,11.6,268.0,17.883333,27.7,16.1
123,POINT (37.747555 -1.8041),1,9.0,135.67102,11.125,70.41139,676.0,104.55951,22.916668,191.0,9.0,20.483334,23.916666,22.445833,1.0,345.0,14.8,245.0,20.483334,30.6,15.8
124,POINT (37.6656205 -0.4155722),1,44.0,101.11031,10.891666,76.70188,1236.0,98.92,20.516666,291.0,44.0,18.7,21.15,20.1125,12.0,571.0,13.6,440.0,18.7,27.8,14.199999
125,POINT (36.198206 -0.0203227),1,374.0,69.47314,13.683333,81.44841,1022.0,52.25328,14.533333,158.0,106.0,15.566667,16.166666,15.258333,27.0,386.0,7.4,207.0,14.416666,24.2,16.800001
126,POINT (37.24501 -1.58253),1,12.0,134.76973,11.549999,71.296295,627.0,92.24019,20.266666,144.0,9.0,17.683332,20.733334,19.308332,2.0,277.0,11.7,249.0,17.35,27.9,16.2
127,POINT (34.75862115 0.81863313),1,470.0,73.735565,12.775,82.41935,1473.0,47.986572,19.316666,219.0,142.0,19.866667,20.216667,19.3125,34.0,567.0,12.2,192.0,18.4,27.7,15.500001
128,POINT (36.0595 -1.79007),1,18.0,123.63497,11.416667,74.13419,428.0,73.588905,25.466667,89.0,18.0,22.416666,25.466667,24.208334,5.0,203.0,16.8,203.0,22.416666,32.2,15.400002
129,POINT (34.234243 0.08633),1,262.0,63.544308,11.683333,83.45238,1415.0,43.01434,22.45,231.0,226.0,22.683334,22.933334,22.133333,50.0,558.0,15.5,268.0,21.316666,29.5,14.0
130,POINT (34.282978 0.060405),1,302.0,65.620575,11.816667,82.63404,1523.0,42.662006,22.183332,244.0,234.0,22.433334,22.683334,21.866667,52.0,596.0,15.1,273.0,21.016666,29.4,14.299999
131,POINT (34.6322457 0.7521147),1,440.0,67.57151,12.516666,82.89183,1565.0,44.496075,20.033333,240.0,168.0,20.55,20.866667,20.025,43.0,601.0,13.1,226.0,19.2,28.2,15.1
