,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range
2217,POINT (39.332734715173245 -4.567933219747767),0,220.0,151.60255,8.266666,65.09186,1212.0,71.978294,26.183332,277.0,114.0,27.833332,28.116667,26.383333,21.0,598.0,20.2,127.0,24.466667,32.9,12.700001
2218,POINT (37.23067695033356 -1.819088450342031),0,12.0,136.89743,11.016666,70.16985,599.0,91.4373,19.583334,137.0,8.0,16.933334,20.05,18.6,1.0,276.0,11.3,252.0,16.6,27.0,15.7
2219,POINT (37.39237370147508 -1.980785201483545),0,15.0,137.34702,11.308333,70.677086,684.0,89.86893,21.566666,162.0,10.0,19.416666,22.55,21.0875,1.0,302.0,13.5,266.0,19.083334,29.5,16.0
2220,POINT (38.8476444617487 -3.355207586186413),0,91.0,148.9712,10.766667,70.37038,835.0,63.369617,25.116667,135.0,73.0,22.7,26.233334,24.616667,21.0,326.0,17.2,266.0,22.666668,32.5,15.299999
2221,POINT (39.171037964031726 1.980785201483545),0,2.0,105.07574,11.566667,75.108215,317.0,123.175095,28.066666,107.0,2.0,25.983334,28.633333,27.3,0.0,159.0,20.3,49.0,25.983334,35.7,15.400002
2222,POINT (41.75818598229595 3.921146215181711),0,2.0,101.56635,11.625001,76.98675,250.0,122.94235,30.183334,86.0,2.0,28.266666,30.6,29.220833,0.0,145.0,22.8,108.0,28.266666,37.9,15.100002
2223,POINT (35.371164312206155 2.223330328195815),0,136.0,56.016747,14.199999,87.65432,434.0,55.3054,26.583332,73.0,43.0,26.05,26.75,25.983334,10.0,175.0,18.1,124.0,25.366667,34.3,16.199999
2224,POINT (37.06898019919205 -2.38502707933733),0,13.0,140.89204,11.608334,71.21677,588.0,81.19113,22.25,122.0,10.0,19.65,22.8,21.3875,1.0,262.0,13.7,250.0,19.333334,30.0,16.3
2225,POINT (39.65612821745627 -1.253149821346732),0,35.0,137.31737,9.75,69.64286,465.0,86.53187,27.766666,106.0,35.0,25.45,28.883333,27.316666,4.0,219.0,20.7,147.0,25.45,34.7,14.0
2226,POINT (34.643528932069344 0.444666065639163),0,437.0,70.72541,12.408334,83.277405,1696.0,41.06789,21.15,250.0,216.0,21.95,22.2,21.329166,55.0,646.0,14.3,277.0,20.4,29.2,14.900001
2227,POINT (38.03916070604113 -0.28296931449765),0,1.0,117.44437,10.983334,74.211716,498.0,121.64956,25.016666,154.0,1.0,22.85,25.75,24.475,0.0,273.0,17.3,180.0,22.85,32.1,14.799999
2228,POINT (34.1584386786448 0.040424187785378),0,154.0,61.181545,11.299999,84.328354,1012.0,47.04072,22.733334,169.0,154.0,21.616667,23.166666,22.425,38.0,415.0,16.0,221.0,21.616667,29.4,13.4
2229,POINT (39.332734715173245 -1.57654332362976),0,47.0,137.77452,9.7,69.78417,565.0,84.43897,27.2,128.0,47.0,24.8,28.25,26.7,6.0,276.0,20.1,168.0,24.8,34.0,13.9
2230,POINT (38.524250959465675 -1.57654332362976),0,8.0,129.42398,9.458333,69.038925,677.0,115.860695,25.366667,208.0,8.0,23.05,26.316666,24.8875,2.0,397.0,18.3,220.0,23.05,32.0,13.700001
2231,POINT (36.988131823621295 1.819088450342031),0,59.0,74.75213,11.85,78.99999,613.0,71.837296,18.866667,136.0,59.0,17.15,19.0,17.983334,13.0,282.0,10.7,226.0,17.15,25.7,15.000001
2232,POINT (37.87746395489962 -0.768059567922191),0,7.0,118.63093,11.025001,74.49324,672.0,115.84987,23.483334,193.0,7.0,21.283333,24.216667,22.9625,1.0,340.0,15.9,263.0,21.283333,30.7,14.800001
