VALUE,
0.00535241
0.00277854
0.00365705
0.00292554
0.00400509
0.01130313
0.00156409
0.00209847
0.01825947
0.06105463
0.03704410
0.00159498
0.00150251
0.00125302
0.00125769
0.05610343
0.12608674
0.00403903
0.00161022
0.00127385
0.00113916
0.00097126
0.00075925
0.08693879
0.06732762
0.00160887
0.00148971
0.00132762
0.00116469
0.00106127
0.00092820
0.00081994
0.00072330
0.00052880
0.00707474
0.02185116
0.00078828
0.00067911
0.00054713
0.00046296
0.00020056
0.00014956
0.00181376
0.00875881
0.00295034
0.00089840
0.00081292
0.00068753
0.00042809
0.00131838
0.00059912
0.00045047
0.00043777
0.00055614
0.00040632
0.00013452
0.00012998
0.00017637
0.00267898
0.00668174
0.01523392
0.00137781
0.00091214
0.00073796
0.00059683
0.00044201
0.00029032
0.00041645
0.00030379
0.00028821
0.00032885
0.00027392
0.00017993
0.00011168
0.00198887
0.00865563
0.00004831
0.00003995
0.00029609
0.00045150
0.00077285
0.00445316
0.00279496
0.00352424
0.01896090
0.00100155
0.00078884
0.00062100
0.00039175
0.00033312
0.00035400
0.00021603
0.00021061
0.00022859
0.00026785
0.00037717
0.00016440
0.00035028
0.00083951
0.00003071
0.00032723
0.00357439
0.01598735
0.00648049
0.00479221
0.00321634
0.00234494
0.00335939
0.00100216
0.00074748
0.00062621
0.00050642
0.00033468
0.00024577
0.00019321
0.00016749
0.00016892
0.00018738
0.00024246
0.00058707
0.00170345
0.00026874
0.00077020
0.00038616
0.00814547
0.00437601
0.00599016
0.00401980
0.00196987
0.00122902
0.00084989
0.00066548
0.00054973
0.00042378
0.00032907
0.00027384
0.00024599
0.00018695
0.00018729
0.00019258
0.00021396
0.00029439
0.00222087
0.00514106
0.00052944
0.00017701
0.00039190
0.00006228
0.00005420
0.00015084
0.00210588
0.00167926
0.00186082
0.00213350
0.00256707
0.00310792
0.00398009
0.01467559
0.00959975
0.00577941
0.00322009
0.00857681
0.00509805
0.00377908
0.00570022
0.00295266
0.00053483
0.00018299
0.00018187
0.00019157
0.00021924
0.00032145
0.00047285
0.00071846
0.00046429
0.00014392
0.00005997
0.00004125
0.00006236
0.00089006
0.00107312
0.00147769
0.00313128
0.00250529
0.00309853
0.00366393
0.01701840
0.01489990
