,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1
391,POINT (35.12861918549388 3.840297839610954),0,293.8324473698934,300.75374248342274,307.86228932274713,0.043650564191566196,92265.10360279531,-2.963662541927386,-0.04162527201050478,1.308714705788046,287.66770705878827,0.07237185184708207,304.131173693144
392,POINT (40.54546034873459 -0.202120938926893),0,295.4868245654636,301.4833461664532,309.46423562367755,0.025807858157399253,99605.0635826447,-1.3506671330331186,-0.025476111939901278,2.883722637342496,292.27692461396276,0.1365967837771098,304.6572412046446
393,POINT (35.53286106334767 2.950965708332628),0,294.85819159613715,302.39724784356315,309.40025446150037,0.03392693247471547,94940.49097183281,-2.614728318615977,-0.034059881918235786,-0.3476417193859073,288.85073981649447,0.06301528349583177,305.448304536143
394,POINT (39.49443146631476 2.142481952625058),0,294.8544797897339,301.2122261710447,308.20938152737085,0.029096881933834442,97362.25428053287,-2.260707142432875,-0.028304938045847747,3.127230238943911,289.986601039275,0.15980463218804078,304.23677405069907
395,POINT (34.7243773076401 0.52551444120992),0,286.91049575805664,294.21023555473215,302.75164275699194,0.08412348662431997,85231.48567575293,-0.402572167621086,-0.08072611700562346,-0.004758197533426733,286.92724478859066,0.27881356328806783,295.3640663080655
396,POINT (38.443402583894915 2.223330328195815),0,294.37997298770483,300.8413133988821,307.90310255686444,0.029841149093700406,95995.88013217898,-2.44863453141547,-0.02934743469167087,2.7964584197203433,289.264348050231,0.13739766222591906,303.99889697579687
397,POINT (38.36255420832416 2.465875454908086),0,294.13507101270886,300.37627847575914,307.47399711608887,0.027155405761377302,95222.19969052878,-2.613028489866897,-0.02687975382691042,3.186026103907975,289.1119089046098,0.11608322600709907,303.7277109550732
398,POINT (39.73697659302703 1.253149821346732),0,295.275977452596,301.59074044822427,308.60108364952936,0.025583569086998326,98349.26782184321,-2.0258381276169177,-0.024326807489463437,3.4862085102509233,290.68849403686073,0.1337453934950763,304.8778886870839
399,POINT (39.57527984188552 -0.444666065639163),0,295.23875024583606,301.263072325601,308.81615871853296,0.022339457462141537,99117.63226701597,-1.3910045197672276,-0.028527058389348287,3.4728639186592676,291.77620061843106,0.14123917105895614,305.04818518875544
400,POINT (37.55407045261659 -0.848907943492948),0,289.28565343221027,295.77922417212307,303.362976498074,0.05953457679631938,89330.13205071328,-0.8872638869923891,-0.05701567560511952,0.43348915296852114,287.8692027638003,0.26765443683512524,297.7483226790681
401,POINT (38.68594771060719 -2.950965708332628),0,293.04186100429956,299.04713226726835,307.2415941026476,0.03658131553720397,96639.62848999337,-1.2690263124503034,-0.03635151846618909,1.8688778050537767,291.26123408368534,0.10450352291880838,301.4658374517048
402,POINT (34.88607405878161 0.121272563356135),0,285.41344780392114,291.56531395683794,299.1385259628296,0.18547105625925092,82278.15548903933,-0.14612940299989194,-0.12498511888164406,-0.34982368953778925,286.91422122633827,0.4396174112559328,293.393533443805
403,POINT (38.12000908161189 -2.465875454908087),0,291.5261771943834,297.58353410649283,305.25726307762994,0.057769582216020715,93552.72468632158,-1.341596083468421,-0.05508230746878932,0.9753872741749162,290.21033443568354,0.238516139796196,299.29401162207955
404,POINT (37.47322207704583 3.355207586186412),0,295.07479127248126,301.58622187860306,308.9382094277276,0.030875013181229056,94153.4387532495,-5.00316187595554,-0.02983707477364482,3.474033687332086,288.22961731969383,0.053076356844489934,305.7018117898203
405,POINT (40.141218470880816 -2.38502707933733),0,296.0019300248888,300.23933489453105,306.74772432115344,0.05069122574428017,100903.04756181929,-0.9992227887747889,-0.04905417758790362,2.325438135013525,294.531224757322,0.18016339536349152,302.5084160700344
406,POINT (39.00934121289021 -0.929756319063705),0,294.4483692381117,300.15818880151926,307.81787395477295,0.03053814190575774,97183.81763864448,-1.075030023499877,-0.030358074653324567,2.4158017113379593,290.9201266040699,0.18117774832047637,302.46656815064705
407,POINT (36.01795131677221 -1.899936825912788),0,288.93960105048285,295.90360664354034,303.38447168138293,0.041854550050274816,86982.63306486857,-0.849141667430454,-0.039407554405948356,0.12865145913115456,285.47029401252246,0.16785638702784017,297.4156590434118
408,POINT (40.70715709987611 -2.304178703766572),0,296.5156419542101,300.24244112210266,305.62033981747095,0.06467336371987359,101161.86854781148,-1.1942479479322687,-0.06475589851227899,2.403654200345041,294.91375104624825,0.21167180893615437,302.335509093179
409,POINT (38.92849283731946 0.040424187785378),0,294.9056011835734,301.14130525726034,308.7205763922797,0.028185621444460043,97909.9186345351,-1.390165595040665,-0.029788788052327517,2.849711768790166,290.77099202346835,0.15029898985434242,304.5176669636645
410,POINT (41.353944104442164 -1.414846572488247),0,296.1862834294637,300.25573311457345,306.4650882085164,0.0612806354155901,100889.30840213918,-1.0509180914679164,-0.05710857624136326,2.0338310342635846,294.6320080133742,0.22279697888015118,301.8023830982606
411,POINT (34.562680556498584 -1.010604694634462),0,287.70026302337646,293.28928040104563,301.2124546898736,0.1446282796068254,84568.98068698762,-0.8741201797379676,-0.10650995671878466,0.1392369533472767,287.88850401233753,0.32264627749497937,294.54764414723206
412,POINT (40.30291522202233 -0.606362816780678),0,295.51260142856177,301.1913798660521,308.963191986084,0.025581872527708233,99654.25563983824,-1.2693058642960628,-0.025271431213089574,2.967471172627406,292.53251289042237,0.13973933250946285,305.2239374975758
413,POINT (39.73697659302703 -3.516904337327926),0,295.15724256303577,298.91331701641843,304.449364344279,0.06312236419807833,99818.49490246453,-1.044040203578576,-0.06165740439125026,2.417967519861853,294.4881543162142,0.1654697123237644,301.0163154902076
414,POINT (40.788005475446866 -0.121272563356135),0,295.61223867204455,301.5666780680155,309.5806891123454,0.0245056906428532,99881.47387314546,-1.360412834987435,-0.024213518320013665,2.8296474967172833,292.4733606811898,0.13068805551746557,304.77534626912035
415,POINT (34.481832180927825 0.52551444120992),0,287.98458343082007,294.34614713066384,302.39507399664984,0.10663168869324156,85746.96719389802,-0.14822338438134902,-0.08062740197379349,-0.03886272127112301,287.9114217291792,0.3316263539339423,295.25800474170387
416,POINT (40.788005475446866 -1.010604694634462),0,295.43297555711536,300.7176259037607,308.5079593658447,0.035920224227335346,100091.83062991117,-1.143259727528821,-0.035334590906536,2.4349302802023844,293.40065152576375,0.15305250467807607,303.527851409761
