,lat,lon,Date,search_state,species,Year,Month_of_year,YearMonth,Week_of_year,geometry
0,0.487762,34.23994,17/10/2019,Busia County,FAW,2019,10,2019-10,42,POINT (34.23994 0.487762)
1,0.645349,34.28713,28/05/2019,Busia County,FAW,2019,5,2019-05,22,POINT (34.28713 0.645349)
2,0.277717,36.379493,03/03/2020,Laikipia County,FAW,2020,3,2020-03,10,POINT (36.379493 0.277717)
3,1.563338,35.383911,18/10/2019,West Pokot,FAW,2019,10,2019-10,42,POINT (35.383911 1.563338)
4,0.4831488,37.6090933,08/05/2019,Meru County,FAW,2019,5,2019-05,19,POINT (37.6090933 0.4831488)
5,0.2846143,34.7535775,05/04/2018,Kakamega County,FAW,2018,4,2018-04,14,POINT (34.7535775 0.2846143)
6,0.59965185,34.62075094,26/03/2019,Bungoma County,FAW,2019,3,2019-03,13,POINT (34.62075094 0.59965185)
7,0.4488162,34.8515518,17/04/2018,Kakamega County,FAW,2018,4,2018-04,16,POINT (34.8515518 0.4488162)
8,0.4708033,35.9860467,15/02/2019,Baringo,FAW,2019,2,2019-02,7,POINT (35.9860467 0.4708033)
9,-3.214996,40.093899,14/07/2020,Kilifi County,FAW,2020,7,2020-07,29,POINT (40.093899 -3.214996)
10,0.7,35.7,03/07/2018,Baringo,FAW,2018,7,2018-07,27,POINT (35.7 0.7)
11,-1.269808,36.811119,05/09/2019,Nairobi County,FAW,2019,9,2019-09,36,POINT (36.811119 -1.269808)
12,0.1491604,36.2727669,18/06/2018,Nakuru,FAW,2018,6,2018-06,25,POINT (36.2727669 0.1491604)
13,0.403789,34.188478,27/05/2019,Busia County,FAW,2019,5,2019-05,22,POINT (34.188478 0.403789)
14,0.8774009,34.8586339,26/06/2018,Trans-Nzoia County,FAW,2018,6,2018-06,26,POINT (34.8586339 0.8774009)
15,-0.8754993,35.2838259,14/12/2018,Bomet,FAW,2018,12,2018-12,50,POINT (35.2838259 -0.8754993)
16,-0.0869941,37.6630762,09/04/2019,Meru County,FAW,2019,4,2019-04,15,POINT (37.6630762 -0.0869941)
17,0.709391,34.381132,26/08/2019,Busia County,FAW,2019,8,2019-08,35,POINT (34.381132 0.709391)
18,0.208277,34.122071,27/09/2019,Siaya County,FAW,2019,9,2019-09,39,POINT (34.122071 0.208277)
19,0.452256,34.352027,16/05/2019,Busia County,FAW,2019,5,2019-05,20,POINT (34.352027 0.452256)
20,0.501564,34.133764,09/11/2019,Busia County,FAW,2019,11,2019-11,45,POINT (34.133764 0.501564)
21,0.508951,34.527066,15/06/2020,Bungoma County,FAW,2020,6,2020-06,25,POINT (34.527066 0.508951)
22,0.9661938,35.0674217,07/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,27,POINT (35.0674217 0.9661938)
23,0.602451,34.415491,04/12/2019,Bungoma County,FAW,2019,12,2019-12,49,POINT (34.415491 0.602451)
24,0.308899,34.207244,12/11/2019,Busia County,FAW,2019,11,2019-11,46,POINT (34.207244 0.308899)
25,-0.709533333,35.06756,10/06/2018,Bomet,FAW,2018,6,2018-06,23,POINT (35.06756 -0.7095333333333333)
26,-0.384357,38.569486,13/09/2019,Kitui County,FAW,2019,9,2019-09,37,POINT (38.569486 -0.384357)
27,1.0972986,34.779357,06/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,27,POINT (34.779357 1.0972986)
28,-0.4473161,36.9847058,26/04/2018,Nyeri,FAW,2018,4,2018-04,17,POINT (36.9847058 -0.4473161)
29,0.8220324,34.9225785,14/07/2018,Bungoma County,FAW,2018,7,2018-07,28,POINT (34.9225785 0.8220324)
30,-1.5683764,37.078103,03/04/2019,Machakos County,FAW,2019,4,2019-04,14,POINT (37.078103 -1.5683764)
31,0.583091,34.205855,17/06/2020,Busia County,FAW,2020,6,2020-06,25,POINT (34.205855 0.583091)
32,-1.168545,36.7850683,22/11/2019,Kiambu,FAW,2019,11,2019-11,47,POINT (36.7850683 -1.168545)
33,0.552766,34.335819,25/05/2019,Busia County,FAW,2019,5,2019-05,21,POINT (34.335819 0.552766)
34,1.942783,35.044426,09/11/2020,West Pokot,FAW,2020,11,2020-11,46,POINT (35.044426 1.942783)
