,lat,lon,Date,search_state,species,Year,Month_of_year,YearMonth,Week_of_year,geometry
0,-0.0869941,37.6630762,09/04/2019,Meru County,FAW,2019,4,2019-04,15,POINT (37.6630762 -0.0869941)
1,0.496708,34.204908,18/10/2019,Busia County,FAW,2019,10,2019-10,42,POINT (34.204908 0.496708)
2,-1.2623592,36.8013114,14/03/2019,Nairobi County,FAW,2019,3,2019-03,11,POINT (36.8013114 -1.2623592)
3,-1.5290018,37.2628393,12/06/2019,Machakos County,FAW,2019,6,2019-06,24,POINT (37.2628393 -1.5290018)
4,1.0947321,34.770922,28/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,30,POINT (34.770922 1.0947321)
5,0.709391,34.381132,27/08/2019,Busia County,FAW,2019,8,2019-08,35,POINT (34.381132 0.709391)
6,0.6014712,34.6187514,14/09/2018,Bungoma County,FAW,2018,9,2018-09,37,POINT (34.6187514 0.6014712)
7,0.277717,36.379493,03/03/2020,Laikipia County,FAW,2020,3,2020-03,10,POINT (36.379493 0.277717)
8,0.552766,34.335819,25/05/2019,Busia County,FAW,2019,5,2019-05,21,POINT (34.335819 0.552766)
9,-1.210481,36.8510154,20/03/2019,Nairobi County,FAW,2019,3,2019-03,12,POINT (36.8510154 -1.210481)
10,0.408169,34.194459,20/05/2020,Busia County,FAW,2020,5,2020-05,21,POINT (34.194459 0.408169)
11,1.563338,35.383911,18/10/2019,West Pokot,FAW,2019,10,2019-10,42,POINT (35.383911 1.563338)
12,0.504638,34.138156,16/09/2019,Busia County,FAW,2019,9,2019-09,38,POINT (34.138156 0.504638)
13,0.406816,34.140002,11/11/2019,Busia County,FAW,2019,11,2019-11,46,POINT (34.140002 0.406816)
14,0.452256,34.352027,16/05/2019,Busia County,FAW,2019,5,2019-05,20,POINT (34.352027 0.452256)
15,0.499269,34.288866,25/09/2019,Busia County,FAW,2019,9,2019-09,39,POINT (34.288866 0.499269)
16,1.0062866,35.0279743,18/09/2018,Trans-Nzoia County,FAW,2018,9,2018-09,38,POINT (35.0279743 1.0062866)
17,0.352368,34.177356,23/10/2020,Busia County,FAW,2020,10,2020-10,43,POINT (34.177356 0.352368)
18,0.493634,34.535634,11/06/2020,Bungoma County,FAW,2020,6,2020-06,24,POINT (34.535634 0.493634)
19,0.4488162,34.8515518,17/04/2018,Kakamega County,FAW,2018,4,2018-04,16,POINT (34.8515518 0.4488162)
20,0.7836838,34.8084243,12/09/2018,Bungoma County,FAW,2018,9,2018-09,37,POINT (34.8084243 0.7836838)
21,0.4708033,35.9860467,15/02/2019,Baringo,FAW,2019,2,2019-02,7,POINT (35.9860467 0.4708033)
22,0.7,35.7,03/07/2018,Baringo,FAW,2018,7,2018-07,27,POINT (35.7 0.7)
23,0.791689,35.470147,09/11/2018,Uasin Gishu County,FAW,2018,11,2018-11,45,POINT (35.470147 0.791689)
24,0.6332,34.26977,20/08/2019,Busia County,FAW,2019,8,2019-08,34,POINT (34.26977 0.6332)
25,0.7948652,35.4120133,04/07/2018,Uasin Gishu County,FAW,2018,7,2018-07,27,POINT (35.4120133 0.7948652)
26,0.634455,34.33121,28/04/2020,Busia County,FAW,2020,4,2020-04,18,POINT (34.33121 0.634455)
27,-0.4563638,37.0029567,26/04/2018,Nyeri,FAW,2018,4,2018-04,17,POINT (37.0029567 -0.4563638)
28,-3.214996,40.093899,14/07/2020,Kilifi County,FAW,2020,7,2020-07,29,POINT (40.093899 -3.214996)
29,0.8774009,34.8586339,26/06/2018,Trans-Nzoia County,FAW,2018,6,2018-06,26,POINT (34.8586339 0.8774009)
30,0.359733,34.256555,06/05/2020,Busia County,FAW,2020,5,2020-05,19,POINT (34.256555 0.359733)
31,0.602632,34.36764,25/05/2019,Busia County,FAW,2019,5,2019-05,21,POINT (34.36764 0.602632)
32,0.567394,34.560638,13/06/2018,Bungoma County,FAW,2018,6,2018-06,24,POINT (34.560638 0.567394)
33,-0.3017648,36.0741751,12/02/2019,Nakuru,FAW,2019,2,2019-02,7,POINT (36.0741751 -0.3017648)
34,-0.8754993,35.2838259,14/12/2018,Bomet,FAW,2018,12,2018-12,50,POINT (35.2838259 -0.8754993)
35,0.213035,34.350195,10/07/2019,Siaya County,FAW,2019,7,2019-07,28,POINT (34.350195 0.213035)
36,0.752063,34.404323,31/05/2019,Busia County,FAW,2019,5,2019-05,22,POINT (34.404323 0.752063)
37,-1.50781,37.0999733,03/04/2019,Machakos County,FAW,2019,4,2019-04,14,POINT (37.0999733 -1.50781)
38,0.208277,34.122071,27/09/2019,Siaya County,FAW,2019,9,2019-09,39,POINT (34.122071 0.208277)
39,1.1295951,34.8284382,20/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,29,POINT (34.8284382 1.1295951)
40,0.602451,34.415491,04/12/2019,Bungoma County,FAW,2019,12,2019-12,49,POINT (34.415491 0.602451)
41,0.308899,34.207244,12/11/2019,Busia County,FAW,2019,11,2019-11,46,POINT (34.207244 0.308899)
42,-0.709533333,35.06756,10/06/2018,Bomet,FAW,2018,6,2018-06,23,POINT (35.06756 -0.7095333333333333)
43,-0.384357,38.569486,13/09/2019,Kitui County,FAW,2019,9,2019-09,37,POINT (38.569486 -0.384357)
44,0.1835069,34.3011675,09/07/2019,Siaya County,FAW,2019,7,2019-07,28,POINT (34.3011675 0.1835069)
45,0.2825186,34.7575565,05/04/2018,Kakamega County,FAW,2018,4,2018-04,14,POINT (34.7575565 0.2825186)
46,0.9187015,34.9300383,28/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,30,POINT (34.9300383 0.9187015)
47,-1.5683764,37.078103,03/04/2019,Machakos County,FAW,2019,4,2019-04,14,POINT (37.078103 -1.5683764)
48,0.583091,34.205855,17/06/2020,Busia County,FAW,2020,6,2020-06,25,POINT (34.205855 0.583091)
49,0.583829,34.26234,24/05/2019,Busia County,FAW,2019,5,2019-05,21,POINT (34.26234 0.583829)
50,0.460309,34.239159,16/05/2019,Busia County,FAW,2019,5,2019-05,20,POINT (34.239159 0.460309)
51,-1.168545,36.7850683,22/11/2019,Kiambu,FAW,2019,11,2019-11,47,POINT (36.7850683 -1.168545)
52,1.942783,35.044426,09/11/2020,West Pokot,FAW,2020,11,2020-11,46,POINT (35.044426 1.942783)
53,0.9669028,35.0677245,21/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,29,POINT (35.0677245 0.9669028)
54,-0.448273,38.569491,13/09/2019,Kitui County,FAW,2019,9,2019-09,37,POINT (38.569491 -0.448273)
55,-1.2927264,36.8890826,12/07/2019,Nairobi County,FAW,2019,7,2019-07,28,POINT (36.8890826 -1.2927264)
56,0.820652,34.913617,05/05/2020,Bungoma County,FAW,2020,5,2020-05,19,POINT (34.913617 0.820652)
57,0.464761,34.102925,20/08/2019,Busia County,FAW,2019,8,2019-08,34,POINT (34.102925 0.464761)
58,0.8912187,34.9882528,30/06/2018,Trans-Nzoia County,FAW,2018,6,2018-06,26,POINT (34.9882528 0.8912187)
59,-0.2,36.09,14/02/2019,Nakuru,FAW,2019,2,2019-02,7,POINT (36.09 -0.2)
60,0.1447692,36.274346,21/11/2018,Nakuru,FAW,2018,11,2018-11,47,POINT (36.274346 0.1447692)
61,-1.370085,38.00522,15/05/2020,Kitui County,FAW,2020,5,2020-05,20,POINT (38.00522 -1.370085)
62,0.4831488,37.6090933,24/04/2019,Meru County,FAW,2019,4,2019-04,17,POINT (37.6090933 0.4831488)
63,0.422932,34.266297,09/09/2019,Busia County,FAW,2019,9,2019-09,37,POINT (34.266297 0.422932)
64,0.534952,34.230194,17/05/2019,Busia County,FAW,2019,5,2019-05,20,POINT (34.230194 0.534952)
65,-0.7532498,35.4473156,28/09/2018,Bomet,FAW,2018,9,2018-09,39,POINT (35.4473156 -0.7532498)
66,-0.4105983,35.6917062,18/07/2018,Nakuru,FAW,2018,7,2018-07,29,POINT (35.6917062 -0.4105983)
67,-0.83427,35.3539973,07/09/2018,Bomet,FAW,2018,9,2018-09,36,POINT (35.3539973 -0.83427)
68,-0.8762537,35.398558,02/07/2018,Bomet,FAW,2018,7,2018-07,27,POINT (35.398558 -0.8762537)
69,0.354647,34.120941,18/03/2019,Busia County,FAW,2019,3,2019-03,12,POINT (34.120941 0.354647)
70,0.055943,37.755668,13/09/2019,Meru County,FAW,2019,9,2019-09,37,POINT (37.755668 0.055943)
71,-1.8444747,37.6343055,27/07/2019,Makueni,FAW,2019,7,2019-07,30,POINT (37.6343055 -1.8444747)
72,-0.8037201,35.4823585,24/08/2018,Bomet,FAW,2018,8,2018-08,34,POINT (35.4823585 -0.8037201)
73,-0.9459788,35.4082726,24/08/2018,Bomet,FAW,2018,8,2018-08,34,POINT (35.4082726 -0.9459788)
74,-1.8708834,37.5872072,05/08/2019,Makueni,FAW,2019,8,2019-08,32,POINT (37.5872072 -1.8708834)
75,-0.3880489,34.64395,25/02/2020,Homa Bay County,FAW,2020,2,2020-02,9,POINT (34.64395 -0.3880489)
76,-0.3880489,37.64395,27/11/2019,Tharaka-Nithi,FAW,2019,11,2019-11,48,POINT (37.64395 -0.3880489)
77,-0.8160555,35.4070817,15/02/2019,Bomet,FAW,2019,2,2019-02,7,POINT (35.4070817 -0.8160555)
78,0.1411326,34.36188958,16/08/2019,Siaya County,FAW,2019,8,2019-08,33,POINT (34.36188958 0.1411326)
79,0.7907401,34.8690194,07/11/2018,Bungoma County,FAW,2018,11,2018-11,45,POINT (34.8690194 0.7907401)
80,0.07726249,34.8147082,14/12/2018,Vihiga County,FAW,2018,12,2018-12,50,POINT (34.8147082 0.07726249)
81,0.8166174,34.9971321,03/07/2018,Bungoma County,FAW,2018,7,2018-07,27,POINT (34.9971321 0.8166174)
82,-1.8041,37.747555,23/08/2019,Makueni,FAW,2019,8,2019-08,34,POINT (37.747555 -1.8041)
83,1.0998433,34.8623674,13/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,28,POINT (34.8623674 1.0998433)
