,lat,lon,Date,search_state,species,Year,Month_of_year,YearMonth,Week_of_year,geometry
111,1.176886,36.8757767,09/11/2019,Samburu,FAW,2019,11,2019-11,45,POINT (36.8757767 1.176886)
112,-0.2756865,36.0337715,14/06/2018,Nakuru,FAW,2018,6,2018-06,24,POINT (36.0337715 -0.2756865)
113,0.0888399,36.2042259,14/07/2018,Nakuru,FAW,2018,7,2018-07,28,POINT (36.2042259 0.0888399)
114,-0.020425,36.1982418,29/09/2018,Nakuru,FAW,2018,9,2018-09,39,POINT (36.1982418 -0.020425)
115,0.781744157,34.84100138,02/11/2018,Bungoma County,FAW,2018,11,2018-11,44,POINT (34.8410013798762 0.781744156846282)
116,0.791689,35.470147,29/09/2018,Uasin Gishu County,FAW,2018,9,2018-09,39,POINT (35.470147 0.791689)
117,0.08633,34.234243,07/04/2017,Siaya County,FAW,2017,4,2017-04,14,POINT (34.234243 0.08633)
118,0.7521147,34.6322457,12/04/2017,Bungoma County,FAW,2017,4,2017-04,15,POINT (34.6322457 0.7521147)
119,0.190729,34.295948,26/04/2017,Siaya County,FAW,2017,4,2017-04,17,POINT (34.295948 0.190729)
120,0.93371,34.7689,04/05/2017,Trans-Nzoia County,FAW,2017,5,2017-05,18,POINT (34.7689 0.93371)
121,0.060405,34.282978,09/05/2017,Siaya County,FAW,2017,5,2017-05,19,POINT (34.282978 0.060405)
122,-0.41337,37.4569,16/05/2017,Embu,FAW,2017,5,2017-05,20,POINT (37.4569 -0.41337)
123,-0.15732,36.105,23/05/2017,Nakuru,FAW,2017,5,2017-05,21,POINT (36.105 -0.15732)
124,0.00295,36.2274,07/06/2017,Nakuru,FAW,2017,6,2017-06,23,POINT (36.2274 0.00295)
125,-1.3114041,36.8118104,08/06/2017,Nairobi County,FAW,2017,6,2017-06,23,POINT (36.8118104 -1.3114041)
126,0.8918026,34.9274829,09/06/2017,Trans-Nzoia County,FAW,2017,6,2017-06,23,POINT (34.9274829 0.8918026)
127,1.209044,35.13701,21/06/2017,West Pokot,FAW,2017,6,2017-06,25,POINT (35.13701 1.209044)
128,1.1312688,35.1028248,27/06/2017,Trans-Nzoia County,FAW,2017,6,2017-06,26,POINT (35.1028248 1.1312688)
129,1.02563,35.27245,29/06/2017,Trans-Nzoia County,FAW,2017,6,2017-06,26,POINT (35.27245 1.02563)
130,0.9346573,35.276148,17/07/2017,Trans-Nzoia County,FAW,2017,7,2017-07,29,POINT (35.276148 0.9346573)
131,1.2786379,35.0912238,18/07/2017,West Pokot,FAW,2017,7,2017-07,29,POINT (35.0912238 1.2786379)
132,0.0911206,36.2492409,27/07/2017,Nakuru,FAW,2017,7,2017-07,30,POINT (36.2492409 0.0911206)
133,-0.41188,37.68892,28/09/2017,Tharaka-Nithi,FAW,2017,9,2017-09,39,POINT (37.68892 -0.41188)
134,-0.442,37.4368,27/10/2017,Embu,FAW,2017,10,2017-10,43,POINT (37.4368 -0.442)
135,-0.5527545,37.405589,16/11/2017,Kirinyaga County,FAW,2017,11,2017-11,46,POINT (37.405589 -0.5527545)
136,-1.4391589,37.2440674,19/11/2017,Machakos County,FAW,2017,11,2017-11,46,POINT (37.2440674 -1.4391589)
137,-1.5344537,37.1616338,24/11/2017,Machakos County,FAW,2017,11,2017-11,47,POINT (37.1616338 -1.5344537)
138,-0.5253498,37.079185,28/11/2017,Nyeri,FAW,2017,11,2017-11,48,POINT (37.079185 -0.5253498)
139,-0.335613,37.82998,05/12/2017,Tharaka-Nithi,FAW,2017,12,2017-12,49,POINT (37.82998 -0.335613)
140,-1.49538,37.2663,05/12/2017,Machakos County,FAW,2017,12,2017-12,49,POINT (37.2663 -1.49538)
141,-0.6272506,37.0305143,07/12/2017,Murang'a County,FAW,2017,12,2017-12,49,POINT (37.0305143 -0.6272506)
142,-4.3741836,39.4235019,10/01/2018,Kwale,FAW,2018,1,2018-01,2,POINT (39.4235019 -4.3741836)
143,-1.2820029,36.6454671,19/01/2018,Kiambu,FAW,2018,1,2018-01,3,POINT (36.6454671 -1.2820029)
