,geometry,class,tavg,prec,tmax,tmin,vapr,wind
1999,POINT (35.20946756106464 2.385027079337329),0,24.941668,37.5,31.049997,18.825,1.8958331,2.2583334
2000,POINT (34.40098380535707 0.606362816780677),0,21.908333,134.5,28.025002,15.816667,1.8275,2.358333
2001,POINT (39.65612821745627 3.274359210615655),0,24.633333,32.666668,29.6,19.666666,1.8808333,2.6583333
2002,POINT (35.69455781448918 -0.040424187785379),0,14.933333,92.083336,20.866667,9.008333,1.2208334,2.3
2003,POINT (40.54546034873459 -0.606362816780678),0,27.599998,32.833332,31.991667,23.208334,2.3966665,2.7
2004,POINT (39.65612821745627 -0.687211192351434),0,28.016668,33.083332,33.033337,23.008333,2.3091667,2.4916668
2005,POINT (36.988131823621295 -0.28296931449765),0,16.466667,75.916664,23.166666,9.775001,1.3874999,2.2583332
2006,POINT (37.715767203758105 -0.606362816780678),0,19.9,92.583336,25.041666,14.783333,1.6691667,2.6999998
2007,POINT (37.87746395489962 -0.929756319063705),0,21.866669,62.416668,27.449999,16.308334,1.8241668,2.908333
2008,POINT (40.62630872430535 1.091453070205218),0,28.508333,28.666666,33.9,23.141668,2.2683334,2.8
2009,POINT (37.39237370147508 0.444666065639163),0,23.224998,58.5,30.358335,16.066668,1.7283334,2.65
2010,POINT (39.00934121289021 -4.24453971746474),0,24.558332,62.416668,29.225,19.925001,2.3825,2.7333336
2011,POINT (38.524250959465675 2.870117332761871),0,25.708334,27.25,30.566666,20.866667,1.96,2.3833334
2012,POINT (39.413583090744 -0.848907943492948),0,27.416666,36.5,32.425003,22.424997,2.2825,2.45
2013,POINT (38.12000908161189 -3.031814083903384),0,23.108332,49.583332,28.191666,17.991667,2.0275,3.075
2014,POINT (38.20085745718265 -0.202120938926893),0,24.875,41.166668,30.574999,19.175,2.0541666,2.5916667
2015,POINT (35.53286106334767 4.001994590752467),0,27.258333,26.5,33.96667,20.550001,1.9783334,2.1333334
2016,POINT (36.01795131677221 0.121272563356135),0,20.308332,76.5,27.675001,12.933333,1.5324999,2.2999997
2017,POINT (39.81782496859778 -2.38502707933733),0,26.058332,61.416668,30.016665,22.083334,2.4050002,2.6000001
2018,POINT (35.45201268777691 3.031814083903384),0,28.666666,23.583334,35.533337,21.800001,2.0208333,2.216667
2019,POINT (37.79661557932886 3.274359210615655),0,24.424997,30.5,29.9,19.008333,1.8391666,2.3583333
2020,POINT (37.47322207704583 0.848907943492947),0,22.199999,50.416668,28.283335,16.108335,1.7541666,2.8500001
2021,POINT (40.46461197316384 3.355207586186412),0,25.941668,25.5,31.475,20.391666,1.9758333,2.7166665
2022,POINT (39.413583090744 -1.091453070205219),0,27.441666,40.0,32.541668,22.316668,2.315833,2.425
2023,POINT (40.060370095310056 -2.789268957191115),0,25.658333,77.75,29.433332,21.891668,2.533333,3.3000002
2024,POINT (38.524250959465675 -2.223330328195816),0,24.866667,55.166668,29.650002,20.099998,2.1158333,2.6083333
2025,POINT (34.481832180927825 -0.040424187785379),0,21.799997,139.08333,27.749998,15.841667,1.7908334,2.591667
2026,POINT (36.26049644348448 1.819088450342031),0,24.666666,31.0,31.583334,17.783335,1.8299999,2.1833334
2027,POINT (35.12861918549388 2.061633577054301),0,20.841665,56.666668,26.766668,14.941666,1.6433333,2.0583332
2028,POINT (40.30291522202233 2.061633577054301),0,27.158333,28.75,32.408337,21.916666,2.0816667,2.8000002
2029,POINT (34.481832180927825 -0.848907943492948),0,20.975002,119.416664,26.824999,15.108334,1.7208332,2.475
2030,POINT (38.36255420832416 -3.43605596175717),0,20.341665,87.166664,25.199999,15.458332,1.8241667,2.8500001
2031,POINT (40.30291522202233 -0.929756319063705),0,27.533333,34.583332,31.975,23.083336,2.4275,2.6833334
2032,POINT (35.04777080992313 0.040424187785378),0,18.016666,149.33333,23.975,12.058333,1.4575,2.4666667
2033,POINT (36.66473832133826 1.414846572488246),0,18.108335,50.166668,24.341667,11.899999,1.4933333,1.9916668
2034,POINT (40.868853851017626 0.52551444120992),0,28.749998,32.75,34.433334,23.074999,2.3524997,2.8916667
2035,POINT (34.88607405878161 0.687211192351434),0,19.708334,121.75,26.108335,13.349999,1.6100001,2.2749999
2036,POINT (34.96692243435237 2.223330328195815),0,20.324999,63.083332,26.174997,14.474999,1.6083335,2.2833335
2037,POINT (35.85625456563069 -0.768059567922191),0,13.625,88.583336,19.150002,8.075,1.1974999,2.2500002
2038,POINT (37.23067695033356 1.819088450342031),0,22.208334,34.25,27.525,16.849998,1.7433335,2.2666667
2039,POINT (36.58388994576751 1.172301445775975),0,14.575002,64.833336,20.733334,8.391667,1.2725,2.2833333
2040,POINT (38.20085745718265 -0.768059567922191),0,22.766668,55.0,27.974998,17.550001,1.9433333,2.5833333
2041,POINT (39.73697659302703 3.031814083903384),0,25.716667,29.083334,30.975,20.5,1.9475002,2.7250001
2042,POINT (35.371164312206155 2.870117332761871),0,28.324999,27.666666,35.658333,21.008333,2.0041664,2.2666667
2043,POINT (41.1113989777299 -1.253149821346732),0,27.16667,46.916668,30.991663,23.333334,2.5525,2.9499998
2044,POINT (39.73697659302703 3.193510835044898),0,25.16667,30.25,30.558334,19.808332,1.9183334,2.7
2045,POINT (38.12000908161189 -0.040424187785379),0,23.958336,45.166668,29.458334,18.466667,1.9933333,2.6916666
2046,POINT (40.54546034873459 0.687211192351434),0,28.758333,29.5,34.358334,23.158335,2.3083334,2.7250001
2047,POINT (38.12000908161189 2.142481952625058),0,25.416664,29.75,30.783333,20.075003,1.9775,2.3749998
