,thindist,background,climate,sensitivity,specificity,auc_checker,auc_ext,condition,gridsize
0,thinned9km,bg1uniform,wcmonthlybg,0.7377049180327869,0.8738411930673116,0.9156672679577906,0.8953542201194203,thinned9km_bg1uniform_wcmonthlybg,0.3
0,thinned9km,bg2lai,era5land,0.65625,0.8250294233032561,0.854517090035308,0.8607961703199798,thinned9km_bg2lai_era5land,0.3
0,thinned9km,bg2lai,era5yearmonthly,0.765625,0.9678305217732444,0.926472391133778,0.944632642297862,thinned9km_bg2lai_era5yearmonthly,0.3
0,thinned9km,bg2lai,wcbioclim,0.5625,0.8642072213500785,0.8763429650706436,0.9253505323698108,thinned9km_bg2lai_wcbioclim,0.3
0,thinned9km,bg2lai,wcmonthly,1.0,0.9827315541601256,0.999607535321821,0.997622578443142,thinned9km_bg2lai_wcmonthly,0.3
0,thinned9km,bg2lai,wcmonthlybg,0.765625,0.7759026687598116,0.8646978021978022,0.8586336495382466,thinned9km_bg2lai_wcmonthlybg,0.3
0,thinned9km,bg3meanA3yr,era5land,0.7,0.5330820770519263,0.6677554438860971,0.7097808012093727,thinned9km_bg3meanA3yr_era5land,0.3
0,thinned9km,bg3meanA3yr,era5yearmonthly,0.7333333333333333,0.923785594639866,0.8519611948632049,0.8056006328857155,thinned9km_bg3meanA3yr_era5yearmonthly,0.3
0,thinned9km,bg3meanA3yr,wcbioclim,0.65,0.6283112582781457,0.6872171633554083,0.7347958791359681,thinned9km_bg3meanA3yr_wcbioclim,0.3
0,thinned9km,bg3meanA3yr,wcmonthly,1.0,0.9577639751552796,0.999792960662526,0.998532746431906,thinned9km_bg3meanA3yr_wcmonthly,0.3
0,thinned9km,bg3meanA3yr,wcmonthlybg,0.8666666666666667,0.4049689440993789,0.6765700483091787,0.4782462004409606,thinned9km_bg3meanA3yr_wcmonthlybg,0.3
0,thinned3km,bg1uniform,era5land,0.4755244755244755,0.9748867846850556,0.9251886442088172,0.9060519022423784,thinned3km_bg1uniform_era5land,0.4
0,thinned3km,bg1uniform,era5yearmonthly,0.8461538461538461,0.9678880197612186,0.9661923091317904,0.9705971844699582,thinned3km_bg1uniform_era5yearmonthly,0.4
0,thinned3km,bg1uniform,wcbioclim,0.5314685314685315,0.9538648320518008,0.9150551997577494,0.9672731837833172,thinned3km_bg1uniform_wcbioclim,0.4
0,thinned3km,bg1uniform,wcmonthly,0.986013986013986,0.981788749494132,0.9969152660370793,0.9977481188553854,thinned3km_bg1uniform_wcmonthly,0.4
0,thinned3km,bg1uniform,wcmonthlybg,0.5664335664335665,0.9405099150141644,0.9126015627432058,0.9073982534190146,thinned3km_bg1uniform_wcmonthlybg,0.4
0,thinned3km,bg2lai,era5land,0.4233576642335766,0.941837144003209,0.8783982010944513,0.872164273116654,thinned3km_bg2lai_era5land,0.4
0,thinned3km,bg2lai,era5yearmonthly,0.8540145985401459,0.9638989169675092,0.966270520962344,0.8600653170514018,thinned3km_bg2lai_era5yearmonthly,0.4
0,thinned3km,bg2lai,wcbioclim,0.5547445255474452,0.934887459807074,0.8947121365033914,0.9365942455413538,thinned3km_bg2lai_wcbioclim,0.4
0,thinned3km,bg2lai,wcmonthly,0.9854014598540146,0.9827170418006432,0.9949685497688172,0.9928441965021302,thinned3km_bg2lai_wcmonthly,0.4
0,thinned3km,bg2lai,wcmonthlybg,0.6131386861313869,0.8786173633440515,0.8751378881404464,0.8876727161452815,thinned3km_bg2lai_wcmonthlybg,0.4
0,thinned3km,bg3meanA3yr,era5land,0.3550724637681159,0.8809128630705394,0.7546424920319923,0.7113983371126228,thinned3km_bg3meanA3yr_era5land,0.4
0,thinned3km,bg3meanA3yr,era5yearmonthly,0.8405797101449275,0.9307053941908714,0.9245444705033375,0.9048947218954116,thinned3km_bg3meanA3yr_era5yearmonthly,0.4
0,thinned3km,bg3meanA3yr,wcbioclim,0.572463768115942,0.8065573770491803,0.7594737467331907,0.7888881042613123,thinned3km_bg3meanA3yr_wcbioclim,0.4
0,thinned3km,bg3meanA3yr,wcmonthly,0.9855072463768116,0.9754098360655736,0.9914498693276312,0.9856805467284954,thinned3km_bg3meanA3yr_wcmonthly,0.4
0,thinned3km,bg3meanA3yr,wcmonthlybg,0.6739130434782609,0.6319672131147541,0.6998485388453315,0.6900407221712214,thinned3km_bg3meanA3yr_wcmonthlybg,0.4
0,thinned5km,bg1uniform,era5land,0.5092592592592593,0.9592424866200082,0.9078991506945396,0.9022927689594356,thinned5km_bg1uniform_era5land,0.4
0,thinned5km,bg1uniform,era5yearmonthly,0.794392523364486,0.9596541786743517,0.9547138740222314,0.9531218305002233,thinned5km_bg1uniform_era5yearmonthly,0.4
0,thinned5km,bg1uniform,wcbioclim,0.5277777777777778,0.9449615540267098,0.8970183761260249,0.9666062503432744,thinned5km_bg1uniform_wcbioclim,0.4
0,thinned5km,bg1uniform,wcmonthly,0.9814814814814816,0.9773371104815864,0.9960073894209872,0.9973558050671248,thinned5km_bg1uniform_wcmonthly,0.4
0,thinned5km,bg1uniform,wcmonthlybg,0.5925925925925926,0.9101578308377176,0.8998287542905108,0.9202661456739558,thinned5km_bg1uniform_wcmonthlybg,0.4
0,thinned5km,bg2lai,era5land,0.4951456310679611,0.9085439229843562,0.8599515536706661,0.8691710758377424,thinned5km_bg2lai_era5land,0.4
0,thinned5km,bg2lai,era5yearmonthly,0.8333333333333334,0.9502607300441236,0.9486778666540824,0.8837173921862956,thinned5km_bg2lai_era5yearmonthly,0.4
0,thinned5km,bg2lai,wcbioclim,0.5631067961165048,0.917604501607717,0.8778369181781288,0.9280261124057466,thinned5km_bg2lai_wcbioclim,0.4
0,thinned5km,bg2lai,wcmonthly,0.970873786407767,0.980305466237942,0.9909117160428308,0.9933149730480428,thinned5km_bg2lai_wcmonthly,0.4
0,thinned5km,bg2lai,wcmonthlybg,0.6019417475728155,0.8520900321543409,0.8623099616020978,0.8904267589388697,thinned5km_bg2lai_wcmonthlybg,0.4
0,thinned5km,bg3meanA3yr,era5land,0.4761904761904761,0.7858921161825726,0.7228986366330765,0.6979843789367599,thinned5km_bg3meanA3yr_era5land,0.4
0,thinned5km,bg3meanA3yr,era5yearmonthly,0.7884615384615384,0.8995850622406639,0.8911127513565273,0.9244188405209136,thinned5km_bg3meanA3yr_era5yearmonthly,0.4
0,thinned5km,bg3meanA3yr,wcbioclim,0.6,0.7569672131147541,0.7249297423887588,0.7713595242018376,thinned5km_bg3meanA3yr_wcbioclim,0.4
0,thinned5km,bg3meanA3yr,wcmonthly,0.9714285714285714,0.9704918032786886,0.9888680718188916,0.9892819873047258,thinned5km_bg3meanA3yr_wcmonthly,0.4
0,thinned5km,bg3meanA3yr,wcmonthlybg,0.7523809523809524,0.5528688524590164,0.6829742388758783,0.6723709091479728,thinned5km_bg3meanA3yr_wcmonthlybg,0.4
