,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
980,POINT (39.561987540845166 2.98416793678531),0,26.0,28.0,31.616663,20.391668,1.9766665,2.7166665,train
981,POINT (36.40357981407329 0.789646718866462),0,18.325,66.666664,25.116667,11.541667,1.4474999,2.15,train
982,POINT (38.76028110422647 3.117239404734634),0,25.991667,30.833334,31.425001,20.550001,1.9691666,2.525,train
983,POINT (35.13563360797291 1.669922769571126),0,22.050001,64.666664,28.374998,15.758332,1.7600001,2.4500003,train
984,POINT (35.376881862505435 4.582352719522709),0,27.341667,47.25,34.933334,19.733334,2.0966668,2.0083332,train
985,POINT (37.41475474842047 1.400446909396363),0,23.433332,36.083332,29.233335,17.608334,1.8533334,2.3500001,train
986,POINT (35.5274322515649 -0.427622206723711),0,14.75,125.75,20.95,8.541667,1.2166667,2.275,train
987,POINT (35.07752952083822 -0.22177076946105),0,21.849998,111.916664,28.391665,15.283333,1.6783333,2.4166667,train
988,POINT (39.656474552498395 -0.948967084065902),0,27.658335,36.833332,32.633335,22.666666,2.3391666,2.4666667,train
989,POINT (35.82537043268183 0.134160705076185),0,19.225002,84.583336,26.14167,12.325,1.4633335,2.1583333,train
990,POINT (38.500581943512294 -3.22274138886923),0,23.78333,70.416664,29.0,18.608332,2.0858333,2.5000002,train
991,POINT (37.548241166961844 -1.065804115315131),0,21.358335,61.166668,27.091667,15.641666,1.7191666,2.966667,train
992,POINT (37.82943223775947 3.284597441464945),0,24.658333,30.0,30.175001,19.183332,1.8583335,2.3583333,train
993,POINT (40.1354244689974 -2.199416194298958),0,27.15,60.416668,31.133333,23.141668,2.5358336,2.8166666,train
994,POINT (34.87650448580137 3.280717718600903),0,23.166666,41.416668,28.983335,17.341667,1.7041668,2.1833332,train
995,POINT (36.94828884114994 3.945662550969279),0,26.491669,24.5,32.725,20.266666,1.9566666,2.1583333,train
996,POINT (40.33398093030923 3.457621558275828),0,25.708334,25.583334,31.366667,20.074999,1.9658335,2.7166665,train
997,POINT (38.676352833028055 2.366825110312207),0,26.475,25.75,31.46667,21.458334,2.0383334,2.4499998,train
998,POINT (35.238439810664886 3.771886686928569),0,28.108332,27.083334,35.43333,20.766666,2.0416667,2.2166667,train
