,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range,split
1314,POINT (38.62719410337531 -3.545093083704661),0,66.0,151.10391,9.841667,68.34491,773.0,65.24902,24.3,126.0,66.0,21.416666,25.016666,23.3625,17.0,304.0,16.4,173.0,21.416666,30.8,14.4,test
1315,POINT (40.88125905361826 -1.251901594602715),0,131.0,120.229416,7.991667,68.30485,532.0,71.684746,27.300001,111.0,32.0,28.583334,28.75,27.3125,3.0,268.0,21.9,118.0,25.733334,33.6,11.699999,test
1316,POINT (36.9374637300962 2.583125665841394),0,27.0,83.72031,10.9,78.41727,356.0,81.00826,23.283333,86.0,25.0,21.6,23.583334,22.55,4.0,167.0,15.8,147.0,21.466667,29.7,13.900001,test
1317,POINT (40.385420074906705 1.110058051622872),0,13.0,118.426414,10.925,73.32214,348.0,107.477974,29.5,103.0,12.0,27.166666,30.016666,28.520834,3.0,160.0,21.8,139.0,27.05,36.7,14.900002,test
1318,POINT (38.811572833207066 -2.536571704425727),0,54.0,140.8793,9.683333,68.67612,798.0,79.82147,26.1,159.0,54.0,23.7,27.183334,25.616667,17.0,357.0,18.8,263.0,23.7,32.9,14.100002,test
1319,POINT (40.55629766271483 0.825416200087668),0,16.0,124.43205,11.0,72.84767,344.0,106.16964,28.566666,99.0,15.0,27.2,30.183334,28.616667,4.0,157.0,21.8,133.0,27.05,36.9,15.100002,test
1320,POINT (40.62230910622175 1.599104369628922),0,13.0,123.664825,10.991666,72.3136,358.0,106.213875,29.35,101.0,11.0,26.983334,29.95,28.354166,3.0,167.0,21.6,138.0,26.866667,36.8,15.199999,test
1321,POINT (39.830776348718686 2.634957109132303),0,5.0,133.21207,10.216666,69.03153,323.0,115.64465,27.116667,98.0,5.0,24.683334,28.1,26.3,1.0,161.0,19.7,44.0,24.683334,34.5,14.799999,test
1322,POINT (34.53310560119088 3.530740744363166),0,146.0,86.378105,13.075,82.75316,463.0,49.59281,26.016666,75.0,47.0,26.3,26.766666,25.595833,6.0,175.0,18.4,73.0,24.55,34.2,15.800001,test
1323,POINT (36.65664563406907 3.823368575522333),0,19.0,85.533066,12.366666,79.78495,270.0,77.03506,27.4,56.0,18.0,26.066666,28.15,26.975,2.0,124.0,19.6,73.0,25.916668,35.1,15.499998,test
1324,POINT (35.408989844439574 0.158028777530375),0,487.0,69.062996,11.283334,82.36009,1257.0,51.28008,13.866667,213.0,140.0,15.2,15.616667,14.783334,40.0,487.0,8.5,283.0,13.866667,22.2,13.700001,test
1325,POINT (39.01600000730402 -3.493863810108326),0,91.0,148.29076,10.116666,69.292244,745.0,57.53167,25.0,119.0,74.0,22.683334,26.183332,24.558334,22.0,289.0,17.5,224.0,22.633333,32.1,14.599998,test
1326,POINT (40.13759954144487 1.938154620635394),0,9.0,117.51853,10.900001,72.66667,347.0,107.53637,28.766666,103.0,8.0,26.583334,29.433334,27.866667,2.0,172.0,21.2,52.0,26.5,36.2,15.0,test
1327,POINT (38.63996650533292 -1.513549942776513),0,9.0,130.63365,9.35,69.25925,689.0,115.77512,25.866667,216.0,9.0,23.516666,26.8,25.366667,3.0,405.0,18.9,221.0,23.516666,32.4,13.500002,test
1328,POINT (39.77125705112896 -1.577583164884046),0,63.0,138.66998,9.175,67.46323,490.0,65.566605,27.533333,94.0,63.0,25.333332,28.733334,27.170834,8.0,207.0,20.8,131.0,25.333332,34.4,13.600002,test
1329,POINT (37.84418060741767 1.679386210155042),0,3.0,81.07234,12.099999,79.60527,351.0,113.63725,26.266666,105.0,3.0,24.433334,26.45,25.45,1.0,174.0,17.9,160.0,24.433334,33.1,15.199999,test
1330,POINT (41.5848677923954 3.803288647030144),0,1.0,108.36511,11.891666,75.743095,260.0,123.00308,29.416668,88.0,1.0,27.283333,29.883333,28.420834,0.0,147.0,21.7,113.0,27.283333,37.4,15.700001,test
1331,POINT (37.06031765805508 2.966556359524117),0,10.0,95.76249,11.45,79.51389,213.0,90.5418,26.683332,51.0,9.0,24.85,27.166666,25.975,0.0,98.0,18.9,53.0,24.716667,33.3,14.4,test
1332,POINT (39.17846957847901 -0.833001963189376),0,10.0,126.79841,10.008333,70.981094,472.0,113.63397,27.266666,145.0,10.0,25.116667,28.333332,26.8625,2.0,269.0,20.2,153.0,25.116667,34.3,14.099998,test
1333,POINT (34.50095048502974 3.282435046107288),0,182.0,85.95717,12.683333,82.35932,513.0,52.205387,24.366667,76.0,45.0,25.383333,25.833334,24.675,6.0,190.0,17.7,72.0,23.616667,33.1,15.399998,test
1334,POINT (38.94701440309804 -3.344857347602767),0,96.0,150.20378,10.591666,70.14349,827.0,61.986588,25.8,134.0,77.0,22.85,26.4,24.770834,22.0,320.0,17.5,261.0,22.8,32.6,15.099998,test
1335,POINT (40.09811211794092 2.282684279665285),0,5.0,126.014084,10.533334,70.69351,334.0,112.37144,27.916668,98.0,5.0,25.516666,28.716667,27.025,1.0,162.0,20.4,47.0,25.516666,35.3,14.9,test
1336,POINT (34.293197798303545 -0.982315014418823),0,144.0,66.61031,11.841666,80.55556,1159.0,52.019432,22.366667,205.0,144.0,21.133333,22.833334,22.0375,40.0,481.0,14.8,262.0,21.133333,29.5,14.7,test
1337,POINT (39.01752578311964 -1.111385128038689),0,10.0,128.98792,10.183333,71.713615,554.0,115.26606,27.033333,174.0,10.0,24.8,28.05,26.583334,2.0,326.0,19.8,175.0,24.8,34.0,14.200001,test
1338,POINT (34.26512021394599 0.161149952641973),0,313.0,62.138355,11.725,83.75,1531.0,40.937256,22.583334,236.0,231.0,22.783333,23.016666,22.245832,50.0,584.0,15.6,269.0,21.433334,29.6,14.0,test
1339,POINT (37.5219251889971 -1.802120671425322),0,12.0,138.16095,10.275,69.42568,739.0,97.17182,21.133333,192.0,8.0,18.883333,22.083334,20.620834,1.0,353.0,13.6,276.0,18.616667,28.4,14.799999,test
1340,POINT (38.36923056090977 1.216057359290515),0,0.0,82.21716,11.958334,80.79956,332.0,128.9826,26.4,106.0,0.0,25.333334,27.416668,26.4125,0.0,156.0,19.3,152.0,25.333334,34.1,14.799999,test
1341,POINT (34.80258685745875 -0.361030730358215),0,276.0,63.08213,12.141666,84.31713,1279.0,40.435875,21.766666,198.0,213.0,22.033333,22.25,21.479166,51.0,506.0,14.5,247.0,20.633333,28.9,14.4,test
1342,POINT (38.90992994119376 -2.136948192381402),0,39.0,141.68358,9.5,67.85715,675.0,89.53524,26.433334,158.0,39.0,23.983334,27.516666,25.933334,12.0,342.0,19.2,210.0,23.983334,33.2,14.0,test
1343,POINT (39.169276616205245 -2.842579230783295),0,80.0,139.43268,9.991667,69.871796,804.0,62.68728,26.45,136.0,80.0,24.2,27.566666,26.0125,23.0,328.0,19.2,234.0,24.2,33.5,14.299999,test
1344,POINT (35.09738956868948 1.94460469037679),0,285.0,64.22028,11.95,82.98611,768.0,54.771275,20.466667,118.0,67.0,21.466667,21.866667,21.033333,15.0,295.0,14.3,179.0,20.216667,28.7,14.400001,test
1345,POINT (41.28419301145689 3.194948840542655),0,5.0,127.69739,11.491667,72.274635,301.0,117.60613,28.333332,91.0,5.0,25.733334,28.933332,27.270834,1.0,152.0,20.4,122.0,25.733334,36.3,15.9,test
1346,POINT (36.34466455687219 1.360341090424074),0,87.0,69.96753,15.083334,86.68582,424.0,62.369373,25.95,86.0,52.0,25.266666,25.983334,25.1,13.0,191.0,16.5,138.0,24.233334,33.9,17.400002,test
1347,POINT (40.87353043598363 1.547776576444566),0,17.0,132.17299,11.2,72.258064,367.0,102.13861,28.233334,96.0,15.0,26.85,30.016666,28.333334,4.0,170.0,21.5,133.0,26.7,37.0,15.5,test
1348,POINT (41.03685606620997 -1.672540367289534),0,141.0,110.29834,6.875,67.401955,737.0,92.53248,27.083334,203.0,31.0,28.0,28.266666,26.979166,3.0,437.0,22.3,147.0,25.533333,32.5,10.200001,test
1349,POINT (35.373394761217824 -0.696955161311621),0,270.0,76.5583,12.625,80.41401,1395.0,41.871075,17.266666,237.0,259.0,17.383333,17.7,16.720833,76.0,560.0,9.4,296.0,15.8,25.1,15.700001,test
1350,POINT (39.16520982020974 -2.723468701934586),0,78.0,138.56612,10.058333,69.84955,800.0,64.38743,26.483334,138.0,78.0,24.25,27.616667,26.0625,24.0,331.0,19.2,237.0,24.25,33.6,14.399998,test
1351,POINT (39.22937025411256 1.075823473930001),0,0.0,88.66432,11.816667,78.77777,302.0,138.913,28.65,117.0,0.0,26.633333,28.85,27.825,0.0,152.0,20.9,151.0,26.633333,35.9,15.000002,test
1352,POINT (39.67615949129853 -3.465517128241697),0,162.0,126.61682,8.200001,67.21311,852.0,60.656017,25.2,182.0,86.0,26.45,26.65,25.2,15.0,348.0,19.4,161.0,23.583334,31.6,12.200001,test
1353,POINT (38.92229311607407 -3.391065007830905),0,91.0,149.93118,10.591667,70.143486,805.0,61.754112,25.15,130.0,75.0,22.75,26.3,24.670834,23.0,316.0,17.4,252.0,22.716667,32.5,15.1,test
1354,POINT (35.987049752914864 0.857717049353737),0,220.0,70.1446,14.325,85.26787,577.0,57.042255,23.033333,89.0,56.0,23.65,24.383333,23.445833,18.0,235.0,15.3,138.0,22.6,32.1,16.8,test
1355,POINT (38.68658549740228 -4.252155609285897),0,73.0,158.25519,10.333333,68.43267,647.0,54.098457,24.35,104.0,65.0,21.966667,25.733334,23.908333,19.0,243.0,16.5,161.0,21.883333,31.6,15.1,test
1356,POINT (37.98069069320987 0.432591090387371),0,54.0,80.74934,11.933333,79.55555,1818.0,107.185814,19.016666,453.0,54.0,18.166666,20.066668,19.125,12.0,891.0,12.2,681.0,18.166666,27.2,15.000001,test
1357,POINT (38.63054261961896 -1.458734842207835),0,9.0,128.79614,9.325,69.074066,703.0,117.14956,25.8,226.0,9.0,23.516666,26.766666,25.329166,3.0,418.0,18.9,222.0,23.516666,32.4,13.500002,test
1358,POINT (39.270991382298575 3.201806883346941),0,11.0,155.81833,9.791666,64.84548,413.0,110.86514,25.5,131.0,10.0,23.15,26.9,24.770834,3.0,223.0,18.2,59.0,22.883333,33.3,15.099998,test
1359,POINT (35.56580589187555 -1.535803729172745),0,87.0,94.93619,12.2,79.73856,909.0,56.82098,18.433332,167.0,84.0,16.566666,18.766666,17.741667,22.0,384.0,10.3,373.0,16.4,25.6,15.3,test
1360,POINT (38.63301601779006 -0.563337361233603),0,0.0,119.00073,9.741667,72.699005,525.0,134.51132,24.733334,196.0,0.0,22.6,25.566666,24.254168,0.0,330.0,17.9,165.0,22.6,31.3,13.4,test
1361,POINT (39.05331127678992 0.104206448473406),0,2.0,109.96813,10.658333,75.59101,325.0,127.914986,26.85,110.0,2.0,25.133333,27.933332,26.620832,0.0,193.0,19.9,111.0,25.133333,34.0,14.1,test
1362,POINT (39.05331127678992 0.104206448473406),0,2.0,109.96813,10.658333,75.59101,325.0,127.914986,26.85,110.0,2.0,25.133333,27.933332,26.620832,0.0,193.0,19.9,111.0,25.133333,34.0,14.1,test
1363,POINT (36.67113538632999 1.70188391180326),0,55.0,73.77665,12.658334,83.2785,447.0,65.39393,22.533333,92.0,55.0,20.7,22.533333,21.579166,10.0,206.0,14.0,206.0,20.7,29.2,15.200001,test
1364,POINT (37.83363906099077 1.863336979408432),0,4.0,81.85355,12.283334,80.8114,328.0,113.2049,26.85,101.0,4.0,25.016666,27.066668,26.05,1.0,165.0,18.5,152.0,25.016666,33.7,15.200001,test
1365,POINT (37.5362085098864 -1.294445995903585),0,10.0,123.26984,11.166667,72.98475,688.0,106.572716,22.083334,196.0,8.0,20.116667,22.9,21.6,1.0,339.0,14.3,263.0,19.8,29.6,15.3,test
1366,POINT (35.24151075661365 -0.800057865250793),0,219.0,77.65013,12.6,80.76923,1279.0,39.237095,18.533333,208.0,215.0,17.050001,18.983334,17.975,54.0,495.0,10.6,314.0,17.05,26.2,15.6,test
1367,POINT (39.492040660707886 -2.092013314200051),0,68.0,135.78616,9.566667,69.32368,634.0,67.92416,27.25,122.0,68.0,25.0,28.333334,26.816668,13.0,276.0,20.2,179.0,25.0,34.0,13.799999,test
1368,POINT (36.932222901886554 -1.215419335393058),0,52.0,115.000015,11.916666,74.479164,742.0,76.488464,21.016666,155.0,40.0,18.6,21.333334,20.025,11.0,348.0,12.7,277.0,18.4,28.7,16.0,test
1369,POINT (40.057975131691684 -0.772849969804102),0,23.0,131.20868,9.608333,70.13381,384.0,94.81068,28.216667,91.0,23.0,26.133333,29.433334,27.895834,5.0,175.0,21.5,137.0,26.133333,35.2,13.700001,test
1370,POINT (39.35594292445205 -1.704395914645654),0,52.0,138.8174,9.508333,68.90096,574.0,80.22227,27.15,125.0,52.0,24.75,28.2,26.654167,7.0,274.0,20.1,167.0,24.75,33.9,13.800001,test
1371,POINT (37.405397864720285 1.044189809688668),0,16.0,68.32826,12.141666,83.162094,498.0,96.54881,23.733334,125.0,15.0,22.35,23.783333,22.9375,4.0,238.0,15.9,208.0,22.216667,30.5,14.6,test
1372,POINT (34.36384936770878 4.21156305598902),0,130.0,97.04342,13.583334,82.323235,518.0,47.94087,26.866667,87.0,62.0,27.116667,27.633333,26.308334,7.0,200.0,18.7,92.0,25.15,35.2,16.5,test
1373,POINT (39.28901405605953 2.176064142723819),0,2.0,113.70733,11.391667,73.023506,318.0,121.25564,27.85,106.0,2.0,25.683334,28.583334,27.079166,0.0,161.0,20.1,48.0,25.683334,35.7,15.6,test
1374,POINT (34.210857870346004 0.196492839430778),0,310.0,60.858753,11.633333,83.69305,1585.0,42.162323,22.45,255.0,240.0,22.633333,22.866667,22.108334,51.0,608.0,15.5,287.0,21.316666,29.4,13.9,test
1375,POINT (37.72091681224844 -0.214417406021716),0,28.0,98.1756,11.058333,77.33101,1269.0,103.03608,21.05,315.0,28.0,19.25,21.683334,20.654167,7.0,629.0,14.0,444.0,19.25,28.3,14.299999,test
1376,POINT (34.76768403722055 4.472099099271973),0,118.0,82.99782,14.733333,85.16378,522.0,49.98766,27.816668,93.0,69.0,27.933332,28.5,27.325,11.0,212.0,19.2,97.0,26.4,36.5,17.3,test
1377,POINT (40.853869226278015 0.480207333326922),0,29.0,133.50748,11.0,71.89543,375.0,92.685555,28.666668,95.0,26.0,27.066668,30.316668,28.633333,6.0,164.0,21.7,129.0,26.933334,37.0,15.299999,test
1378,POINT (40.35741414333477 -0.823172514566523),0,40.0,129.38887,8.875,68.798454,390.0,80.90799,28.65,86.0,37.0,25.966667,29.116667,27.5875,4.0,161.0,21.6,124.0,25.866667,34.5,12.9,test
1379,POINT (37.60851331806505 -1.178853662023521),0,9.0,121.943695,11.675,73.8924,708.0,110.22246,21.633333,213.0,9.0,19.4,22.466667,21.170834,1.0,360.0,13.8,260.0,19.4,29.6,15.8,test
1380,POINT (34.87827928901534 3.661864737761934),0,90.0,72.17795,13.558334,85.81223,386.0,57.074455,27.8,76.0,45.0,27.866667,28.35,27.3875,7.0,169.0,19.9,71.0,26.516666,35.7,15.800001,test
1381,POINT (40.042677439249594 -2.952277914304655),0,215.0,126.7088,7.6916666,66.30747,981.0,73.28907,25.166666,235.0,78.0,26.416668,26.616667,25.1375,10.0,483.0,19.8,213.0,23.466667,31.4,11.6,test
1382,POINT (35.59324751887718 0.877513990422829),0,370.0,66.62309,13.0,83.870964,944.0,53.274624,19.783333,139.0,90.0,20.833334,21.466667,20.525,23.0,370.0,13.0,211.0,19.783333,28.5,15.5,test
