,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range,split
0,POINT (34.288866 0.499269),1,356.0,61.73469,11.975,84.330986,1649.0,43.164696,22.533333,250.0,223.0,22.65,22.916666,22.145834,51.0,631.0,15.5,269.0,21.35,29.7,14.200001,train
1,POINT (34.9299407 0.9187688),1,432.0,86.4274,13.183333,79.898994,1203.0,50.888165,18.916666,170.0,107.0,19.55,19.966667,18.883333,25.0,452.0,11.5,278.0,17.85,28.0,16.5,train
2,POINT (34.138156 0.504638),1,320.0,59.460968,11.9,84.39716,1591.0,43.533962,22.9,244.0,221.0,22.983334,23.25,22.508333,54.0,609.0,15.9,265.0,21.75,30.0,14.1,train
3,POINT (37.6630762 -0.0869941),1,59.0,95.72292,11.05,77.27273,1691.0,98.95985,19.566666,392.0,59.0,17.883333,20.266666,19.258333,15.0,822.0,12.7,550.0,17.883333,27.0,14.3,train
4,POINT (34.261607 0.551105),1,354.0,64.131714,11.666667,83.93285,1676.0,43.360516,22.2,254.0,229.0,22.366667,22.65,21.808334,57.0,645.0,15.3,279.0,21.016666,29.2,13.900001,train
5,POINT (34.105675 0.460818),1,342.0,57.424206,11.858334,85.31175,1766.0,44.906296,22.466667,276.0,243.0,22.483334,22.75,22.054167,63.0,679.0,15.5,291.0,21.316666,29.4,13.9,train
6,POINT (37.078103 -1.5683764),1,17.0,132.173,11.983334,71.756485,558.0,87.84272,20.183334,130.0,14.0,17.616667,20.65,19.216667,3.0,264.0,11.4,225.0,17.316666,28.1,16.7,train
7,POINT (36.0704836 -0.2845506),1,255.0,68.53858,14.441667,82.05493,925.0,47.63934,17.716667,160.0,113.0,17.733334,18.333334,17.429167,27.0,353.0,9.2,261.0,16.633333,26.8,17.599998,train
8,POINT (34.175648 0.554142),1,328.0,60.382298,11.791667,83.62884,1586.0,43.338318,22.883333,241.0,217.0,22.983334,23.25,22.4875,53.0,610.0,15.9,263.0,21.716667,30.0,14.1,train
9,POINT (34.350563 0.697794),1,341.0,68.79924,11.866667,82.4074,1502.0,41.974377,21.8,229.0,199.0,22.033333,22.316668,21.383333,54.0,571.0,14.8,253.0,20.583332,29.2,14.400001,train
10,POINT (39.789663 -3.650488),1,228.0,128.95265,8.0,67.796616,1123.0,72.97516,25.9,276.0,94.0,27.1,27.333332,25.816666,17.0,542.0,20.3,231.0,24.15,32.1,11.799999,train
11,POINT (34.193631 0.407613),1,339.0,59.063087,11.875,84.82143,1668.0,42.657543,22.65,257.0,231.0,22.733334,23.0,22.270834,54.0,633.0,15.7,280.0,21.516666,29.7,14.000001,train
12,POINT (34.386351 0.565253),1,351.0,65.93585,12.208333,83.04989,1591.0,42.486877,21.916666,241.0,217.0,22.616667,22.883333,22.029167,53.0,609.0,15.2,266.0,21.2,29.9,14.7,train
13,POINT (34.7866426 1.0968928),1,416.0,91.885765,12.458333,79.35244,1191.0,48.57265,16.183332,160.0,110.0,18.05,18.433334,17.245834,24.0,430.0,10.3,145.0,16.133333,26.0,15.7,train
14,POINT (34.335819 0.552766),1,353.0,64.54238,12.141666,83.735634,1626.0,43.61562,22.433332,246.0,221.0,22.566668,22.866667,22.020834,54.0,626.0,15.3,269.0,21.216667,29.8,14.499999,train
15,POINT (34.204908 0.496708),1,341.0,60.80272,11.783333,84.16666,1656.0,44.028862,22.683334,254.0,224.0,22.766666,23.05,22.283333,52.0,637.0,15.7,270.0,21.5,29.7,14.000001,train
16,POINT (37.2611855 -1.5315163),1,12.0,134.55313,11.316667,71.174,693.0,93.452644,19.583334,163.0,11.0,17.466667,20.5,19.1,2.0,299.0,11.6,274.0,17.133333,27.5,15.9,train
17,POINT (34.526797 0.53375),1,386.0,69.26425,12.208334,83.04989,1652.0,42.148212,21.666666,248.0,213.0,21.816666,22.083334,21.229166,55.0,630.0,14.3,275.0,20.333334,29.0,14.7,train
18,POINT (40.122393 -3.129576),1,267.0,128.87332,7.9,65.833336,1095.0,93.97491,24.983334,318.0,71.0,26.316668,26.5,24.991667,8.0,635.0,19.7,249.0,23.266666,31.7,12.0,train
19,POINT (34.134939 0.412595),1,329.0,59.58663,11.841666,84.583336,1681.0,42.241917,22.55,259.0,237.0,22.583334,22.866667,22.1375,59.0,630.0,15.5,287.0,21.366667,29.5,14.0,train
20,POINT (39.766704 -3.900834),1,203.0,134.91301,7.7166667,65.954414,1065.0,71.15571,26.033333,255.0,98.0,27.433334,27.55,26.033333,16.0,506.0,20.5,229.0,24.283333,32.2,11.700001,train
21,POINT (34.28713 0.645349),1,320.0,64.41461,12.116667,83.563225,1463.0,41.682453,22.883333,220.0,202.0,23.033333,23.3,22.458334,53.0,558.0,15.8,251.0,21.666666,30.3,14.499999,train
22,POINT (34.36764 0.602632),1,340.0,64.71382,12.166667,83.33333,1546.0,43.904076,22.633333,242.0,207.0,22.8,23.083334,22.233334,51.0,600.0,15.5,257.0,21.433334,30.1,14.6,train
23,POINT (34.235507 0.465357),1,360.0,61.551884,11.916667,84.515366,1734.0,44.099842,22.516666,266.0,236.0,22.616667,22.9,22.125,55.0,671.0,15.5,285.0,21.333334,29.6,14.1,train
24,POINT (34.220922 0.539806),1,332.0,65.855385,11.641666,83.15476,1600.0,40.84417,22.083334,233.0,227.0,22.266666,22.55,21.6875,57.0,598.0,15.1,273.0,20.866667,29.1,14.0,train
25,POINT (40.047128 -3.266117),1,260.0,123.16146,7.5249996,66.592926,1020.0,84.03892,24.866667,276.0,74.0,26.083334,26.283333,24.8125,9.0,549.0,19.7,213.0,23.183334,31.0,11.299999,train
26,POINT (35.383911 1.563338),1,329.0,66.10368,12.3,81.456955,878.0,53.971897,18.65,134.0,78.0,19.816666,20.316668,19.416666,17.0,329.0,12.3,215.0,18.65,27.4,15.099999,train
27,POINT (34.330169 0.629064),1,339.0,64.871666,12.0,83.33333,1579.0,44.49213,22.733334,244.0,213.0,22.883333,23.166666,22.308332,55.0,620.0,15.7,266.0,21.516666,30.1,14.400001,train
28,POINT (34.9694373 0.9027378),1,439.0,87.77122,13.25,79.819275,1186.0,52.231667,18.8,167.0,104.0,19.416666,19.866667,18.758333,24.0,444.0,11.4,270.0,17.7,28.0,16.6,train
29,POINT (34.266297 0.422932),1,364.0,62.539383,11.991667,84.448364,1718.0,43.28541,22.65,260.0,235.0,22.75,23.033333,22.254168,53.0,661.0,15.6,284.0,21.45,29.8,14.199999,train
30,POINT (39.720753 -3.903322),1,224.0,141.10161,7.958333,65.23224,1151.0,71.56123,25.933334,272.0,104.0,27.383333,27.533333,25.9125,17.0,552.0,20.2,258.0,24.083334,32.4,12.200001,train
31,POINT (34.7535775 0.2846143),1,555.0,86.22008,12.241667,81.07063,2022.0,38.84408,19.616667,283.0,267.0,20.883333,21.15,20.004168,76.0,734.0,12.9,352.0,18.95,28.0,15.1,train
32,POINT (34.352027 0.452256),1,376.0,64.14206,12.058333,83.73843,1685.0,43.15913,22.016666,265.0,231.0,22.7,22.966667,22.1625,52.0,648.0,15.4,275.0,21.333334,29.8,14.4,train
33,POINT (35.0279743 1.0062866),1,390.0,96.47087,13.341667,79.41468,1159.0,53.478172,18.283333,170.0,101.0,19.116667,19.516666,18.304167,23.0,448.0,10.8,141.0,17.133333,27.6,16.8,train
34,POINT (35.745971 0.075945),1,338.0,61.459526,13.466667,83.6439,1098.0,44.661034,17.7,164.0,141.0,17.65,17.833334,17.2,32.0,382.0,9.7,289.0,16.383333,25.8,16.099998,train
35,POINT (34.8487923 1.083059),1,375.0,96.66796,13.583333,79.4347,1081.0,50.52589,18.416666,145.0,90.0,19.25,19.65,18.408333,19.0,391.0,10.9,122.0,17.25,28.0,17.1,train
36,POINT (34.308392 0.684313),1,324.0,67.60373,11.925,82.8125,1476.0,42.640144,22.466667,228.0,199.0,22.7,22.966667,22.054167,53.0,567.0,15.5,250.0,21.25,29.9,14.4,train
37,POINT (40.093899 -3.214996),1,291.0,126.34955,7.4916663,65.71637,1054.0,91.25566,24.616667,301.0,61.0,25.966667,26.1,24.6375,7.0,599.0,19.5,212.0,22.933332,30.9,11.4,train
38,POINT (34.78389669 -0.08750075),1,260.0,73.231674,12.7,84.105965,1349.0,38.81951,23.233334,213.0,248.0,23.766666,23.966667,23.041666,63.0,534.0,15.8,304.0,22.1,30.9,15.099999,train
39,POINT (35.470147 0.791689),1,322.0,71.58778,12.758333,82.84632,1061.0,47.261803,16.516666,163.0,124.0,16.683334,17.266666,16.345833,26.0,384.0,9.2,277.0,15.433333,24.6,15.400001,train
40,POINT (34.20655 0.582841),1,331.0,62.9574,11.8,83.68794,1566.0,42.401833,22.933334,235.0,215.0,23.016666,23.3,22.5,53.0,598.0,15.9,262.0,21.7,30.0,14.1,train
41,POINT (35.4120133 0.7948652),1,328.0,77.46334,13.241667,82.760414,975.0,46.626575,16.85,133.0,111.0,17.083334,17.666666,16.6875,23.0,335.0,9.4,235.0,15.7,25.4,16.0,train
42,POINT (34.456389 0.510477),1,385.0,65.93586,12.141666,83.1621,1651.0,41.538124,21.516666,251.0,221.0,22.216667,22.5,21.645834,54.0,632.0,14.8,273.0,20.816668,29.4,14.599999,train
43,POINT (34.404323 0.752063),1,350.0,69.57664,12.183333,82.31982,1457.0,41.43169,21.45,222.0,188.0,22.216667,22.5,21.55,51.0,551.0,14.8,240.0,20.733334,29.6,14.8,train
44,POINT (37.0999733 -1.50781),1,18.0,130.39204,11.941667,72.37373,589.0,89.567276,20.283333,138.0,15.0,17.75,20.75,19.320833,4.0,272.0,11.7,237.0,17.45,28.2,16.5,train
45,POINT (34.150935 0.450892),1,340.0,59.561203,11.908333,84.45626,1704.0,43.63669,22.583334,262.0,234.0,22.633333,22.9,22.179167,57.0,650.0,15.5,283.0,21.4,29.6,14.1,train
46,POINT (34.8284382 1.1295951),1,378.0,95.38101,13.425,78.9706,1080.0,50.49513,17.15,147.0,90.0,19.066666,19.483334,18.245832,20.0,391.0,10.8,121.0,17.1,27.8,17.0,train
47,POINT (34.415491 0.602451),1,357.0,66.3025,12.258333,83.39003,1614.0,43.585625,22.35,252.0,217.0,22.533333,22.816666,21.9375,56.0,627.0,15.1,272.0,21.116667,29.8,14.699999,train
48,POINT (37.068166 -0.248928),1,80.0,68.024055,13.583333,78.97287,945.0,64.41003,16.616667,170.0,80.0,15.066667,16.616667,15.849999,23.0,369.0,7.6,369.0,15.066667,24.8,17.199999,train
49,POINT (36.09 -0.2),1,277.0,67.87216,14.275,82.04023,922.0,45.857876,17.583334,143.0,105.0,17.616667,18.216667,17.304167,24.0,338.0,9.2,238.0,16.55,26.6,17.400002,train
50,POINT (37.755668 0.055943),1,32.0,95.03587,11.633333,78.07606,1289.0,101.22265,21.483334,322.0,32.0,19.883333,22.2,21.2,10.0,648.0,14.3,425.0,19.883333,29.2,14.900001,train
51,POINT (37.6343055 -1.8444747),1,10.0,136.57054,10.933333,70.08547,757.0,100.56457,21.983334,200.0,8.0,19.8,22.95,21.483334,1.0,367.0,14.0,285.0,19.5,29.6,15.6,train
52,POINT (34.8147082 0.07726249),1,486.0,70.29564,11.791666,81.321846,1987.0,36.33537,19.966667,286.0,303.0,20.3,20.516666,19.6625,84.0,723.0,12.8,362.0,18.766666,27.3,14.499999,train
53,POINT (37.5872072 -1.8708834),1,11.0,139.07907,10.674999,69.77124,760.0,99.150856,21.933332,196.0,8.0,19.683332,22.883333,21.404167,1.0,361.0,14.1,292.0,19.383333,29.4,15.299999,train
54,POINT (36.8757767 1.176886),1,55.0,75.19167,12.733334,81.62393,673.0,77.6589,20.783333,156.0,55.0,18.916666,20.783333,19.708334,14.0,330.0,11.9,330.0,18.916666,27.5,15.6,train
55,POINT (37.747555 -1.8041),1,9.0,135.67102,11.125,70.41139,676.0,104.55951,22.916668,191.0,9.0,20.483334,23.916666,22.445833,1.0,345.0,14.8,245.0,20.483334,30.6,15.8,train
56,POINT (37.24501 -1.58253),1,12.0,134.76973,11.549999,71.296295,627.0,92.24019,20.266666,144.0,9.0,17.683332,20.733334,19.308332,2.0,277.0,11.7,249.0,17.35,27.9,16.2,train
57,POINT (34.7689 0.93371),1,457.0,87.10299,12.008333,79.0022,1257.0,46.962387,15.3,182.0,125.0,17.133333,17.483334,16.3625,28.0,457.0,9.6,162.0,15.3,24.8,15.199999,train
58,POINT (37.32643 -0.57318),1,60.0,97.627174,11.8,76.623375,1116.0,94.98192,21.266666,289.0,58.0,19.466667,21.35,20.441668,15.0,541.0,13.2,413.0,19.166666,28.6,15.400001,train
59,POINT (37.4541 -0.5365),1,63.0,99.99621,11.283333,76.75738,1221.0,92.150154,20.716667,294.0,63.0,18.483334,20.85,19.858334,18.0,559.0,13.1,433.0,18.483334,27.8,14.699999,train
60,POINT (37.46408 -0.47389),1,146.0,98.91074,10.95,76.041664,1507.0,86.94396,18.95,345.0,146.0,16.75,19.133333,18.133333,32.0,707.0,11.6,490.0,16.75,26.0,14.4,train
61,POINT (36.1651 -0.176445),1,336.0,73.479546,13.666667,80.86785,1038.0,51.85852,15.883333,155.0,105.0,15.95,16.616667,15.608334,26.0,397.0,7.8,246.0,14.766666,24.7,16.900002,train
62,POINT (37.4569 -0.41337),1,196.0,98.19874,11.141666,76.83907,1724.0,82.17185,18.6,371.0,176.0,17.9,18.783333,17.795834,37.0,793.0,11.2,531.0,16.416666,25.7,14.500001,train
63,POINT (37.05557279 -0.53427365),1,131.0,103.38495,11.591667,73.832275,1313.0,82.19763,18.75,291.0,129.0,16.716667,18.933334,17.954166,39.0,635.0,10.7,420.0,16.55,26.4,15.7,train
64,POINT (36.2225 -0.115301),1,397.0,73.050415,12.483334,80.02137,1169.0,49.895573,13.866667,166.0,117.0,13.833334,14.5,13.55,30.0,425.0,6.4,248.0,12.666667,22.0,15.6,train
65,POINT (36.105 -0.15732),1,296.0,71.26562,14.35,81.07345,974.0,48.409252,17.5,155.0,105.0,17.533333,18.183334,17.216667,24.0,363.0,9.0,252.0,16.416666,26.7,17.7,train
66,POINT (36.11021 -0.25034),1,259.0,73.06078,14.5,81.005585,870.0,44.60088,17.166666,133.0,103.0,17.216667,17.883333,16.883333,24.0,318.0,8.6,225.0,16.083334,26.5,17.9,train
67,POINT (37.48089637 -1.408468098),1,10.0,127.227875,11.158333,71.98925,717.0,103.15504,21.35,196.0,8.0,19.333334,22.2,20.8625,1.0,347.0,13.4,276.0,19.0,28.9,15.5,train
68,POINT (37.0520633333333 -0.581825),1,134.0,108.504814,11.491667,73.66453,1384.0,85.2949,18.833334,332.0,132.0,16.75,19.066668,18.0625,39.0,686.0,10.9,470.0,16.616667,26.5,15.6,train
69,POINT (37.62601476 -2.998274871),1,70.0,155.07268,11.941667,70.2451,1128.0,78.337036,21.066666,240.0,62.0,18.5,22.083334,20.370832,19.0,497.0,12.5,306.0,18.233334,29.5,17.0,train
70,POINT (37.2979112 -1.4706062),1,45.0,131.69926,10.35,70.408165,1292.0,91.14302,18.083334,303.0,40.0,15.483334,18.466667,17.091667,11.0,569.0,10.2,505.0,15.166667,24.9,14.7,train
71,POINT (37.52088 -0.51003),1,74.0,98.84464,11.208333,77.29886,1223.0,90.85595,20.216667,276.0,74.0,18.016666,20.383333,19.379166,21.0,538.0,12.8,414.0,18.016666,27.3,14.499999,train
72,POINT (37.44187 -1.32801),1,13.0,126.193535,11.008333,72.90287,723.0,101.6214,21.55,191.0,9.0,19.533333,22.366667,21.054167,2.0,337.0,13.8,284.0,19.2,28.9,15.099999,train
73,POINT (37.405589 -0.5527545),1,63.0,98.68068,11.616667,76.42544,1139.0,91.69186,20.7,272.0,63.0,18.533333,20.833334,19.866667,18.0,515.0,12.8,399.0,18.533333,28.0,15.2,train
74,POINT (37.3327941 -1.4047617),1,12.0,131.7273,10.891666,71.6557,690.0,98.31255,20.783333,173.0,9.0,18.683334,21.633333,20.270834,2.0,309.0,13.0,279.0,18.333334,28.2,15.200001,train
75,POINT (37.2440674 -1.4391589),1,18.0,129.84256,10.916667,71.35076,853.0,94.08726,19.466667,197.0,17.0,16.933334,19.883333,18.5,4.0,369.0,11.3,333.0,16.616667,26.6,15.3,train
76,POINT (37.4596359 -1.2350989),1,12.0,123.06919,11.125,73.190796,714.0,103.50064,21.85,192.0,9.0,19.85,22.616667,21.3375,2.0,337.0,14.1,280.0,19.533333,29.3,15.199999,train
77,POINT (37.1616338 -1.5344537),1,15.0,134.40878,11.825,72.10365,641.0,91.13365,19.9,145.0,13.0,17.333334,20.383333,18.954166,3.0,289.0,11.3,258.0,17.0,27.7,16.400002,train
78,POINT (37.2547153 -1.3774947),1,14.0,124.97272,11.366667,73.333336,698.0,93.17354,20.05,171.0,13.0,18.15,20.983334,19.65,3.0,308.0,12.3,267.0,17.833334,27.8,15.499999,train
79,POINT (37.4149686 -0.4487697),1,173.0,96.72967,11.308333,76.40766,1632.0,85.26154,18.85,369.0,165.0,18.1,19.033333,18.054167,37.0,777.0,11.3,518.0,16.716667,26.1,14.8,train
80,POINT (39.4235019 -4.3741836),1,262.0,155.48251,8.125,64.48412,1294.0,76.281845,25.483334,309.0,104.0,27.150002,27.416666,25.670834,18.0,654.0,19.6,110.0,23.7,32.2,12.6,train
81,POINT (36.1867264 -0.2658143),1,260.0,78.663086,14.233334,80.41431,867.0,45.680965,16.283333,133.0,103.0,16.416666,17.1,16.033333,25.0,320.0,7.9,222.0,15.133333,25.6,17.7,train
82,POINT (37.5062 -0.46959),1,134.0,98.49916,10.941667,76.51515,1473.0,88.203804,19.016666,341.0,134.0,16.833334,19.216667,18.204166,31.0,689.0,11.7,488.0,16.833334,26.0,14.3,train
83,POINT (37.50348991 -0.418800298),1,193.0,100.07856,10.991667,76.8648,1756.0,82.738304,18.616667,382.0,179.0,17.95,18.833334,17.820833,37.0,798.0,11.4,550.0,16.4,25.7,14.300001,train
84,POINT (36.23458 -0.25462),1,320.0,73.55682,13.316667,80.22088,1006.0,49.298748,14.883333,148.0,96.0,14.933333,15.6,14.616667,26.0,378.0,7.0,217.0,13.75,23.6,16.6,train
85,POINT (37.6842283 -3.039685),1,48.0,161.57545,12.058333,69.300766,941.0,83.70989,21.9,218.0,45.0,19.216667,22.966667,21.179167,14.0,430.0,13.1,249.0,18.966667,30.5,17.4,train
86,POINT (35.86498 -0.928184),1,163.0,91.61327,12.958333,80.48654,894.0,44.216488,16.166666,165.0,151.0,14.316667,16.433332,15.445833,46.0,356.0,8.0,312.0,14.15,24.1,16.1,train
87,POINT (39.3554756 -4.3881297),1,254.0,158.70868,8.441667,64.9359,1260.0,73.34151,25.55,291.0,106.0,27.3,27.566668,25.770834,19.0,619.0,19.5,115.0,23.766666,32.5,13.0,train
88,POINT (34.3280867 -1.1125095),1,162.0,61.95519,11.741667,81.53935,1271.0,48.742928,21.95,217.0,162.0,20.783333,22.366667,21.645834,44.0,519.0,14.5,290.0,20.783333,28.9,14.4,train
89,POINT (34.8377534 0.9366649),1,420.0,95.54766,13.141666,79.16667,1240.0,50.60408,18.0,172.0,109.0,18.933332,19.3,18.070833,24.0,466.0,10.8,148.0,16.933334,27.4,16.599998,train
90,POINT (35.89853636 -0.96993428),1,137.0,97.12536,13.25,79.819275,825.0,44.723682,16.383333,150.0,129.0,14.466667,16.7,15.666667,39.0,330.0,8.0,293.0,14.283333,24.6,16.6,train
91,POINT (37.6488487 -0.6801384),1,13.0,105.10007,10.791667,75.99765,864.0,106.18306,21.583334,223.0,13.0,19.666666,22.166668,21.1125,3.0,404.0,14.5,343.0,19.666666,28.7,14.200001,train
92,POINT (37.7230122 -3.0726432),1,37.0,162.96205,12.008333,69.01341,830.0,88.073944,22.35,207.0,36.0,19.633333,23.45,21.629168,11.0,394.0,13.6,215.0,19.416666,31.0,17.4,train
93,POINT (35.66428712 -0.854850796),1,206.0,80.74815,13.041667,81.00414,1053.0,40.8388,16.3,179.0,196.0,15.116667,16.566666,15.654167,59.0,415.0,8.2,346.0,14.566667,24.3,16.099998,train
94,POINT (35.5881825 1.0551177),1,370.0,68.626945,12.458333,82.505516,1082.0,47.88062,16.8,147.0,121.0,17.016666,17.566666,16.6375,28.0,371.0,9.4,258.0,15.833333,24.5,15.1,train
95,POINT (35.0520498 0.630612),1,518.0,76.02206,12.875,82.53205,1277.0,55.017967,17.416666,210.0,119.0,18.816666,19.333332,18.379168,31.0,518.0,11.2,277.0,17.416666,26.8,15.599999,train
96,POINT (35.8670144 -1.088047),1,101.0,99.72975,13.708333,80.63725,784.0,54.284046,18.033333,148.0,86.0,15.966667,18.2,17.2125,27.0,340.0,9.1,307.0,15.75,26.1,17.0,train
97,POINT (37.5884336 -2.894053569),1,59.0,151.87404,12.291667,71.050095,1033.0,79.9693,20.983334,217.0,47.0,18.366667,21.916668,20.245834,14.0,451.0,12.3,276.0,18.133333,29.6,17.3,train
98,POINT (34.9622034 0.9743511),1,395.0,93.35497,13.3,79.16667,1144.0,51.414497,18.433332,161.0,101.0,19.2,19.6,18.433332,23.0,429.0,11.0,138.0,17.3,27.8,16.8,train
99,POINT (35.95504539 -1.089464671),1,98.0,104.91249,13.525,79.55882,752.0,54.563644,18.216667,144.0,85.0,16.116667,18.466667,17.404167,26.0,329.0,9.4,290.0,15.866667,26.4,17.0,train
100,POINT (34.9880713 1.0186541),1,378.0,98.637505,13.358334,79.04339,1114.0,51.748196,18.3,159.0,99.0,19.166666,19.566668,18.320833,23.0,419.0,10.8,136.0,17.116667,27.7,16.900002,train
101,POINT (36.1189362 -0.2925258),1,236.0,68.018486,14.466667,82.19697,822.0,42.80864,17.5,130.0,104.0,17.55,18.15,17.241667,24.0,294.0,9.0,222.0,16.466667,26.6,17.6,train
102,POINT (36.7825261 -1.8546139),1,31.0,129.53514,11.841666,72.64826,565.0,73.55849,20.15,121.0,25.0,17.783333,20.65,19.295834,5.0,258.0,11.5,221.0,17.4,27.8,16.3,train
103,POINT (37.235621 -0.5599069),1,87.0,104.16605,11.691667,75.43011,1217.0,92.47195,20.533333,311.0,81.0,18.7,20.733334,19.8125,23.0,605.0,12.6,436.0,18.45,28.1,15.5,train
104,POINT (35.0534424 0.8097101),1,474.0,81.995705,13.175,81.32716,1172.0,56.183487,17.633333,185.0,100.0,19.233334,19.683334,18.6625,24.0,474.0,11.3,251.0,17.633333,27.5,16.2,train
105,POINT (35.6008312 -0.9982082),1,136.0,87.44696,13.683333,80.4902,925.0,46.952072,17.366667,165.0,127.0,15.733334,17.75,16.783333,36.0,378.0,8.8,256.0,15.55,25.8,17.0,train
106,POINT (34.87029 0.99319),1,396.0,93.76288,13.375,79.142006,1174.0,50.40746,18.683332,166.0,102.0,19.483334,19.883333,18.6875,23.0,441.0,11.2,139.0,17.566666,28.1,16.900002,train
107,POINT (35.61245 0.95475),1,293.0,67.245605,13.5,85.44304,767.0,55.26266,21.966667,113.0,71.0,22.733334,23.4,22.458334,19.0,299.0,14.8,184.0,21.666666,30.6,15.8,train
108,POINT (39.15319 -4.57847),1,204.0,159.12164,9.016666,65.33816,1125.0,65.161064,27.166666,229.0,121.0,27.9,28.133333,26.316666,23.0,516.0,19.6,142.0,24.316666,33.4,13.800001,train
109,POINT (38.62883615925745 -1.609364951469936),0,8.0,131.17404,9.525,69.02174,662.0,115.34622,25.766666,203.0,8.0,23.45,26.766666,25.304167,2.0,390.0,18.7,213.0,23.45,32.5,13.799999,train
110,POINT (34.811524536516814 3.175162360432576),0,149.0,79.229256,12.266666,82.32662,468.0,53.52357,25.3,79.0,45.0,25.55,26.016666,24.95,7.0,186.0,18.1,72.0,24.0,33.0,14.9,train
111,POINT (38.99170595633228 -1.684526508510906),0,28.0,137.8975,10.158333,70.057465,636.0,98.40985,26.85,164.0,28.0,24.416666,27.883333,26.345833,6.0,337.0,19.4,206.0,24.416666,33.9,14.500002,train
112,POINT (35.18987219563167 -0.490275993992729),0,361.0,78.50403,12.683333,81.30341,1547.0,33.133854,19.2,235.0,273.0,19.366667,19.716667,18.691668,79.0,567.0,11.4,325.0,17.75,27.0,15.6,train
113,POINT (36.307229877567664 0.782175082717353),0,238.0,67.21177,13.666667,83.333336,775.0,53.382893,20.95,123.0,77.0,20.583334,21.383333,20.508333,20.0,295.0,12.6,190.0,19.716667,29.0,16.4,train
114,POINT (40.036711558716476 1.868020360042165),0,7.0,114.00011,10.975,72.68211,341.0,108.21503,28.95,103.0,7.0,26.766666,29.616667,28.0875,2.0,171.0,21.3,52.0,26.766666,36.4,15.100002,train
115,POINT (34.742602539847184 -1.006209187826895),0,309.0,68.53997,11.616667,81.235435,1652.0,34.947506,19.416666,251.0,309.0,18.083334,19.833334,18.975,75.0,599.0,12.1,348.0,18.083334,26.4,14.299999,train
116,POINT (37.864109924310185 -1.927682138024295),0,5.0,137.44972,11.433333,71.014496,603.0,110.196014,23.516666,179.0,5.0,21.1,24.583334,23.083334,1.0,323.0,15.3,215.0,21.1,31.4,16.099998,train
117,POINT (36.59260934497363 1.082164085263021),0,211.0,83.52556,13.333333,80.808075,696.0,45.95349,14.8,102.0,80.0,15.7,16.766666,15.641666,21.0,233.0,7.7,220.0,14.65,24.2,16.5,train
118,POINT (38.86609037145221 -3.716895731766738),0,86.0,153.36319,9.891667,67.751144,707.0,56.506042,24.566666,112.0,76.0,22.166666,25.8,24.104166,22.0,267.0,17.1,156.0,22.116667,31.7,14.6,train
119,POINT (35.22291983144663 -1.160754310063108),0,158.0,75.448166,12.916667,83.333336,1054.0,41.96607,19.516666,169.0,150.0,17.966667,19.783333,18.916666,35.0,389.0,11.4,386.0,17.916666,26.9,15.5,train
120,POINT (39.65615417400305 1.309473160359484),0,3.0,98.9825,10.758333,75.76292,305.0,126.28975,28.833332,107.0,3.0,26.7,29.15,27.954166,1.0,148.0,21.4,142.0,26.7,35.6,14.199999,train
121,POINT (34.95810352330441 0.979741378691561),0,395.0,91.36486,13.325,79.315475,1146.0,51.21558,18.566668,160.0,101.0,19.3,19.7,18.554167,23.0,429.0,11.1,139.0,17.45,27.9,16.8,train
122,POINT (36.59260934497363 1.082164085263021),0,211.0,83.52556,13.333333,80.808075,696.0,45.95349,14.8,102.0,80.0,15.7,16.766666,15.641666,21.0,233.0,7.7,220.0,14.65,24.2,16.5,train
123,POINT (36.874447083090566 1.082202052192394),0,120.0,77.89852,11.599999,80.0,675.0,56.772224,17.633333,128.0,95.0,16.466667,17.633333,16.55,22.0,271.0,9.5,271.0,15.7,24.0,14.5,train
124,POINT (40.72183378912621 -0.62412940595184),0,58.0,126.30233,8.75,68.89764,406.0,75.606895,28.666666,90.0,39.0,28.916668,29.116667,27.575,3.0,175.0,21.8,121.0,25.916666,34.5,12.700001,train
125,POINT (39.24268576226696 1.483297432902271),0,1.0,97.289,10.933333,75.92593,300.0,131.8242,28.366667,108.0,1.0,26.266666,28.699999,27.533333,0.0,147.0,20.9,145.0,26.266666,35.3,14.4,train
126,POINT (38.3700720237691 -0.114083116525345),0,0.0,109.65511,10.5,75.0,439.0,130.2335,25.666668,145.0,0.0,23.733334,26.45,25.233334,0.0,247.0,18.5,159.0,23.733334,32.5,14.0,train
127,POINT (40.83622907744233 0.295102504103248),0,34.0,134.10408,10.758333,71.247246,376.0,90.17258,29.7,94.0,30.0,26.95,30.233334,28.545834,5.0,161.0,21.7,127.0,26.833334,36.8,15.099998,train
