bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range
0.0,53.02053,6.2749996,64.038025,182.0,29.195045,10.016666,42.0,0.0,10.25,11.816667,10.9125,0.0,83.0,5.0,28.0,10.0,17.9,9.299999
71.0,67.56091875,7.466666275,67.43984312500001,412.0,42.821633125000005,12.51458275,89.25,40.625,12.65416675,14.181250375000001,13.266666749999999,10.875,181.25,7.2625,104.75,12.38125,20.45,10.599999125
142.0,82.10130749999999,8.65833295,70.84166125,642.0,56.44822125,15.0124995,136.5,81.25,15.0583335,16.54583375,15.6208335,21.75,279.5,9.525,181.5,14.7625,23.0,11.89999925
213.0,96.64169625,9.849999625,74.243479375,872.0,70.074809375,17.51041625,183.75,121.875,17.462500249999998,18.910417125,17.97500025,32.625,377.75,11.787500000000001,258.25,17.14375,25.549999999999997,13.199999374999999
284.0,111.182085,11.0416663,77.6452975,1102.0,83.70139750000001,20.008333,231.0,162.5,19.866667,21.275000499999997,20.329166999999998,43.5,476.0,14.05,335.0,19.525,28.099999999999998,14.4999995
355.0,125.72247375,12.233332975,81.047115625,1332.0,97.327985625,22.506249750000002,278.25,203.125,22.27083375,23.639583875,22.683333750000003,54.375,574.25,16.3125,411.75,21.90625,30.65,15.799999625
426.0,140.26286249999998,13.42499965,84.44893375000001,1562.0,110.95457375000001,25.0041665,325.5,243.75,24.6750005,26.00416725,25.0375005,65.25,672.5,18.575000000000003,488.5,24.2875,33.199999999999996,17.09999975
497.0,154.80325125,14.616666325,87.85075187500001,1792.0,124.58116187500002,27.50208325,372.75,284.375,27.079167249999998,28.368750624999997,27.391667249999998,76.125,770.75,20.837500000000002,565.25,26.66875,35.75,18.399999875
568.0,169.34364,15.808333,91.25257,2022.0,138.20775,30.0,420.0,325.0,29.483334,30.733334,29.745834,87.0,869.0,23.1,642.0,29.05,38.3,19.7
