ID,Date,Region,Sub region,Country,District,Village,lat,long,FAW Confirmed count,FAW Suspected count,FAW Confirmed + Suspected count,Other species count
8187,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411398,1.209518,10,2,12,5
8188,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411405,1.209503,6,2,8,1
8189,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411405,1.2095,7,3,10,
819,2019-06-26,Africa,Sub-Saharan Africa,Zimbabwe,null,Zimbabwe,-20.212083,28.581792,,,,
8190,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411409,1.2095,13,5,18,1
8191,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411407,1.209508,,,,
8192,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411407,1.209502,4,3,7,1
8193,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.41141,1.209503,,,,
8194,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411403,1.209504,,,,
8195,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.41141,1.209499,10,5,15,7
8196,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411408,1.209508,7,2,9,4
8197,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411402,1.209509,10,3,13,2
82,2019-05-15,Africa,Sub-Saharan Africa,Ethiopia,Amhara,Bahir Dar,11.60367,37.369201,,,,
820,2019-06-26,Africa,Sub-Saharan Africa,Zimbabwe,null,Zimbabwe,-20.212066,28.581884,,,,
8201,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411402,1.20951,,,,
8202,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411413,1.209501,3,1,4,
8203,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411398,1.209515,,,,
8204,2022-08-10,Africa,Sub-Saharan Africa,Togo,Maritime Region,Maritime Region,6.731505,1.173089,,,,
8209,2022-08-11,Africa,Sub-Saharan Africa,Togo,Maritime Region,Maritime Region,6.228908,1.069778,,,,
821,2019-06-26,Africa,Sub-Saharan Africa,Zimbabwe,null,Zimbabwe,-20.212017,28.581992,,,,
8210,2022-08-12,Africa,Sub-Saharan Africa,Togo,Maritime Region,Maritime Region,6.595238,1.499253,,,,
8211,2022-08-12,Africa,Sub-Saharan Africa,Togo,Maritime Region,Tsévié,6.411407,1.209511,22,8,30,3
8216,2022-08-12,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.88251,0.645365,6,2,8,3
8217,2022-08-12,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.882495,0.645375,8,2,10,3
8218,2022-08-12,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.88251,0.645365,8,2,10,3
8219,2022-08-12,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.882503,0.645363,6,3,9,2
822,2019-06-26,Africa,Sub-Saharan Africa,Zimbabwe,null,Zimbabwe,-20.212071,28.581976,,,,
8220,2022-08-12,Africa,Sub-Saharan Africa,Togo,Plateaux Region,Plateaux Region,6.882508,0.645369,6,2,8,3
