,geometry,class,tavg,prec,tmax,tmin,vapr,wind
1363,POINT (37.83714288926585 0.049650986765926),0,21.825003,88.75,27.583336,16.083334,1.79,2.7833335
1364,POINT (37.60046061156331 0.455308110486613),0,23.550001,47.833332,30.308332,16.808332,1.7800001,3.0916665
1365,POINT (37.263111688926855 0.028774361110474),0,13.766667,85.083336,19.841667,7.7000003,1.2524999,2.1333334
1366,POINT (37.67917985666193 -9.4079206913e-5),0,19.508333,133.41667,25.058332,13.950001,1.6225,2.8500001
1367,POINT (37.65423373572455 0.231847795785536),0,21.275,91.833336,27.708334,14.808333,1.6541668,3.0583332
1368,POINT (37.406920758874335 -0.097928962444997),0,8.258333,122.083336,14.608334,1.9583334,0.9883332,1.5416666
1369,POINT (37.73340511226258 0.14720410108448),0,20.308332,116.666664,26.066668,14.533333,1.6325,2.2916663
1370,POINT (38.05681556896382 0.216596651573637),0,22.716667,61.083332,28.216667,17.208334,1.8708333,2.5916665
1371,POINT (37.98976657668685 0.407194698688732),0,19.174997,165.5,24.891665,13.474999,1.5383333,2.45
1372,POINT (37.923047299393964 0.563676505938683),0,23.574999,48.166668,29.949997,17.2,1.8224999,2.7166665
1373,POINT (37.98070055394896 0.360549308747839),0,19.108334,178.91667,24.566666,13.641667,1.5516667,2.5583334
1374,POINT (38.002895724247125 0.328301763840216),0,20.516666,134.16667,25.733335,15.316666,1.6700001,2.6499999
1375,POINT (37.14258149081009 0.019434560008108),0,15.575001,73.416664,22.416666,8.741667,1.3658333,2.216667
1376,POINT (37.75283976956679 0.341658636444597),0,22.15,83.0,28.299997,16.008333,1.6991668,3.3
1377,POINT (37.84354192038333 -0.110298874893713),0,22.558334,61.916668,28.183332,16.958334,1.8816667,2.6666667
1378,POINT (37.64057294823431 0.409332514182479),0,23.441668,52.916668,30.166666,16.750002,1.7633333,3.1416671
1379,POINT (37.296196677823374 -0.090429563431971),0,6.1583333,135.0,11.733333,0.59166664,0.91249996,1.2416667
1380,POINT (37.586055120331274 0.147994363045381),0,17.824999,122.083336,24.300001,11.375,1.4499999,2.35
1381,POINT (37.74966963348271 0.078082162934268),0,20.783333,116.75,26.525,15.024999,1.6883334,2.608333
1382,POINT (38.275259283025 0.067312341674654),0,24.333334,39.916668,29.383333,19.25,2.0291667,2.3666666
1383,POINT (37.67749119554623 0.18447060569801),0,20.466665,105.0,26.691668,14.224999,1.6208334,2.6
1384,POINT (37.89324327736969 -0.044358876445559),0,22.141668,72.583336,27.658333,16.616665,1.8416667,2.7083333
1385,POINT (37.86970778450828 0.447766726240133),0,22.725,73.833336,29.16667,16.283335,1.7349998,2.6750002
1386,POINT (37.713907443588056 0.138945976167353),0,20.233334,113.583336,26.050001,14.424999,1.6341667,2.3749998
1387,POINT (37.45315596005106 -0.14916858122442),0,11.325,121.0,17.058332,5.6,1.1441666,2.0666668
1388,POINT (37.71209759642756 -0.120180331542623),0,20.65,113.083336,26.208334,15.099999,1.725,2.708333
1389,POINT (37.83669037787887 0.045621157055092),0,21.825003,88.75,27.583336,16.083334,1.79,2.7833335
1390,POINT (37.65140095237386 0.153204249741022),0,19.725002,111.916664,25.724998,13.733333,1.5958334,2.283333
1391,POINT (38.18022252389578 0.093043504165676),0,23.808334,44.333332,28.941668,18.666666,1.9908334,2.4583333
1392,POINT (37.28290263308183 0.066922773146488),0,14.450001,76.416664,21.158333,7.733333,1.27,1.9916667
1393,POINT (38.09385441064072 0.487310461808837),0,22.641668,62.25,28.558332,16.758333,1.7983333,3.0333335
1394,POINT (37.90704877440566 0.547845676672148),0,23.391665,52.5,29.783335,17.016666,1.8008333,2.6583333
1395,POINT (34.61431769329108 -1.226613929516544),0,20.341665,116.416664,26.16667,14.516667,1.6558334,2.4833333
1396,POINT (34.45249135844824 -1.200699495150025),0,20.658335,120.916664,26.374998,14.924999,1.6650001,2.4333334
1397,POINT (34.41095800799946 -0.891470519587236),0,21.516668,113.25,27.366667,15.658333,1.7799999,2.4833333
1398,POINT (34.67975869250829 -1.24414688492859),0,20.108334,115.416664,25.95833,14.241666,1.6308333,2.4416668
1399,POINT (34.451472244687864 -1.111716155023829),0,21.058332,113.416664,26.90833,15.241666,1.7258334,2.4083333
1400,POINT (34.453913785778994 -1.092478953502679),0,21.066668,112.583336,26.90833,15.241666,1.7283334,2.4583333
1401,POINT (34.50681267287527 -1.137360908632626),0,20.983334,116.833336,26.824999,15.150001,1.7183334,2.5
1402,POINT (34.42239968697643 -1.188377765616019),0,21.141668,115.833336,26.833334,15.416667,1.7133332,2.4
1403,POINT (34.207896460108145 -1.005926542932132),0,22.516668,88.666664,28.600004,16.475,1.8541669,2.4083335
1404,POINT (34.62235587424411 -1.135954235230215),0,20.491669,118.166664,26.375,14.591667,1.6733335,2.5083332
1405,POINT (34.42849729414028 -1.126033710175525),0,21.083334,117.083336,26.941666,15.283333,1.7225,2.425
1406,POINT (34.31700424632501 -1.135042625772003),0,21.358335,109.833336,27.216667,15.508334,1.7366667,2.4416666
1407,POINT (34.149782214833095 -0.984395514060855),0,22.516665,91.666664,28.008333,17.016666,1.8758332,2.4416666
1408,POINT (34.60059042829379 -1.071957654803309),0,20.30833,122.916664,26.183334,14.433333,1.6591667,2.4833333
1409,POINT (34.441953827403445 -0.905139706188998),0,21.28333,116.5,27.125,15.416667,1.7591667,2.5000002
1410,POINT (34.553507388669246 -0.712762822578013),0,21.208334,118.916664,27.141668,15.266666,1.75,2.5416667
1411,POINT (34.486396811463536 -1.06603368155864),0,20.541666,120.666664,26.35,14.766666,1.6700001,2.4166667
1412,POINT (34.23070733346041 -1.000684797256884),0,22.675001,88.583336,28.75,16.583334,1.8741665,2.45
