,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
2022,POINT (37.47407275710686 -1.780273895226397),0,20.716665267944336,60.58333206176758,25.991666793823242,15.450000762939453,1.7091666460037231,2.9666669368743896,test
2023,POINT (39.530904421241054 -3.476868445288464),0,24.441665649414062,66.16666412353516,28.825002670288086,20.016664505004883,2.3433332443237305,3.0166666507720947,test
2024,POINT (37.77627913656733 2.584768407694276),0,26.741666793823242,21.91666603088379,32.69166946411133,20.766666412353516,1.9966667890548706,2.299999952316284,test
2025,POINT (40.406401183949036 2.170053138165221),0,26.91666603088379,29.33333396911621,32.13333511352539,21.700002670288086,2.073333501815796,2.758333206176758,test
2026,POINT (37.815414780618276 0.447876722345162),0,22.958330154418945,65.5,29.349998474121094,16.575000762939453,1.7491666078567505,2.6583333015441895,test
2027,POINT (39.142573481498864 -1.656959566032138),0,26.54166603088379,49.58333206176758,31.48333168029785,21.566665649414062,2.2649998664855957,2.4833333492279053,test
2028,POINT (37.37292363655957 -2.635564236735381),0,21.683334350585938,59.66666793823242,28.25,15.125000953674316,1.7624998092651367,3.1500003337860107,test
2029,POINT (39.8495287392864 -0.349056673089),0,28.066667556762695,28.66666603088379,32.99166488647461,23.14166831970215,2.2908332347869873,2.5749998092651367,test
2030,POINT (37.727103031654174 3.490895191817805),0,22.224998474121094,32.16666793823242,27.78333282470703,16.69999885559082,1.6591664552688599,2.299999952316284,test
2031,POINT (37.48771558262954 -0.645739470114107),0,21.32499885559082,78.66666412353516,27.25,15.450000762939453,1.717499852180481,2.958333730697632,test
2032,POINT (40.073578953314126 3.017003873294192),0,26.083330154418945,27.16666603088379,31.66666603088379,20.54166603088379,1.9858332872390747,2.7333335876464844,test
2033,POINT (38.6990937619089 -3.175735788348117),0,24.70833396911621,77.41666412353516,30.058332443237305,19.358335494995117,2.1583333015441895,2.6083333492279053,test
2034,POINT (37.15373621958567 1.906757496702432),0,23.33333396911621,30.16666603088379,29.41666603088379,17.26666831970215,1.7916666269302368,2.375000238418579,test
2035,POINT (37.405397864720285 1.044189809688668),0,22.933334350585938,41.5,29.008331298828125,16.866666793823242,1.8224998712539673,2.5833332538604736,test
2036,POINT (38.653146641050164 0.668604253352924),0,25.883333206176758,30.75,31.58333396911621,20.200000762939453,2.054166555404663,2.508333444595337,test
2037,POINT (38.12979019184881 1.005604966240671),0,24.78333282470703,32.83333206176758,30.599998474121094,18.975000381469727,1.934999942779541,3.116666793823242,test
2038,POINT (38.82107859324525 1.790694457193193),0,27.066665649414062,25.66666603088379,32.766666412353516,21.375001907348633,2.080000162124634,2.2166666984558105,test
2039,POINT (37.61513540667648 -2.151225166730334),0,22.29166603088379,52.5,28.09166717529297,16.46666717529297,1.8333333730697632,3.0416667461395264,test
